gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBL012C 	23 	687 	
SCT1 	98 	4173 	
YBL010C 	38 	1884 	
ALK2 	93 	6546 	
YBL008W-A 	18 	282 	
HIR1 	105 	3247 	
SLA1 	96 	1639 	
LDB7 	47 	1519 	
YBL006W-A 	18 	651 	
PDR3 	164 	6615 	
UTP20 	9 	27 	
HTA2 	40 	1450 	
HTB2 	40 	3766 	
ECM15 	32 	3427 	
NTH2 	227 	16177 	
RER2 	7 	1255 	
COQ1 	125 	7916 	
GPI18 	2 	1 	
RCR1 	67 	6069 	
UGA2 	108 	8639 	
DSF2 	174 	14783 	
FLR1 	114 	4891 	
HHF1 	14 	94 	
HHT1 	33 	1271 	
IPP1 	14 	178 	
YBR012C 	19 	394 	
YBR013C 	27 	645 	
GRX7 	27 	627 	
MNN2 	67 	1598 	
YBR016W 	26 	1405 	
KAP104 	5 	94 	
GAL7 	1 	0 	
GAL10 	27 	796 	
GAL1 	2 	1 	
FUR4 	71 	2011 	
POA1 	24 	675 	
CHS3 	57 	1160 	
SCO2 	30 	1128 	
OLA1 	30 	351 	
ETR1 	27 	386 	
YBR027C 	21 	527 	
YPK3 	59 	1737 	
CDS1 	4 	19 	
RKM3 	30 	865 	
RPL4A 	7 	10 	
YBR032W 	28 	924 	
EDS1 	109 	3083 	
HMT1 	21 	708 	
PDX3 	22 	448 	
CSG2 	24 	730 	
SCO1 	20 	674 	
CHS2 	10 	451 	
ATP3 	6 	7 	
FIG1 	10 	260 	
FAT1 	47 	466 	
CST26 	39 	717 	
QDR3 	38 	676 	
TCM62 	32 	1338 	
GIP1 	42 	717 	
ZTA1 	37 	1015 	
FMP23 	11 	579 	
RPS11B 	6 	9 	
REB1 	6 	44 	
REG2 	31 	789 	
YBR051W 	13 	97 	
RFS1 	20 	128 	
YBR053C 	34 	1274 	
YRO2 	16 	402 	
PRP6 	13 	295 	
YBR056W 	22 	522 	
YBR056W-A 	7 	35 	
YBR056C-B 	6 	33 	
MUM2 	15 	332 	
UBP14 	24 	395 	
TSC3 	0 	0 	
AKL1 	31 	703 	
ORC2 	8 	72 	
TRM7 	11 	365 	
YBR062C 	10 	185 	
YBR063C 	19 	306 	
YBR064W 	3 	4 	
ECM2 	29 	491 	
NRG2 	25 	207 	
TIP1 	12 	109 	
BAP2 	8 	94 	
TAT1 	5 	11 	
ALG14 	0 	0 	
YBR071W 	27 	767 	
HSP26 	11 	225 	
YBR072C-A 	16 	321 	
RDH54 	40 	1105 	
PFF1 	42 	926 	
ECM8 	19 	269 	
YBR076C-A 	13 	213 	
SLM4 	28 	319 	
ECM33 	33 	527 	
RPG1 	5 	31 	
SEC18 	3 	107 	
SPT7 	14 	263 	
UBC4 	4 	36 	
TEC1 	29 	330 	
MIS1 	37 	1014 	
RPL19A 	15 	264 	
AAC3 	11 	99 	
YBR085C-A 	5 	5 	
IST2 	48 	763 	
RFC5 	1 	0 	
POL30 	2 	2 	
YBR089W 	0 	0 	
NHP6B 	23 	388 	
YBR090C 	42 	670 	
TIM12 	0 	0 	
PHO3 	22 	994 	
PHO5 	16 	324 	
PBY1 	26 	875 	
RXT2 	11 	185 	
YBR096W 	12 	265 	
VPS15 	17 	248 	
MMS4 	29 	404 	
YBR099C 	7 	119 	
FES1 	6 	135 	
EXO84 	12 	198 	
SIF2 	10 	105 	
YBR103C-A 	14 	273 	
YMC2 	30 	828 	
VID24 	22 	500 	
PHO88 	3 	154 	
IML3 	3 	26 	
AIM3 	37 	1000 	
CMD1 	0 	0 	
YBR109W-A 	6 	174 	
ALG1 	0 	0 	
YSA1 	13 	173 	
SUS1 	2 	3 	
CYC8 	20 	179 	
YBR113W 	11 	49 	
RAD16 	25 	415 	
LYS2 	35 	889 	
YBR116C 	23 	469 	
TKL2 	43 	1088 	
TEF2 	2 	17 	
MUD1 	9 	91 	
CBP6 	5 	8 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	5 	39 	
TFC1 	8 	101 	
YBR124W 	10 	134 	
PTC4 	17 	201 	
TPS1 	7 	54 	
YBR126W-A 	14 	256 	
YBR126W-B 	12 	225 	
VMA2 	4 	47 	
ATG14 	10 	84 	
OPY1 	15 	171 	
SHE3 	7 	17 	
CCZ1 	3 	7 	
YBR131C-A 	0 	0 	
AGP2 	19 	310 	
HSL7 	42 	965 	
YBR134W 	18 	538 	
CKS1 	2 	4 	
MEC1 	10 	88 	
YBR137W 	12 	266 	
YBR138C 	22 	409 	
YBR139W 	23 	1001 	
IRA1 	26 	385 	
BMT2 	20 	545 	
YBR141W-A 	1 	0 	
MAK5 	3 	2 	
SUP45 	0 	0 	
YBR144C 	11 	477 	
ADH5 	10 	87 	
MRPS9 	2 	2 	
RTC2 	10 	329 	
YSW1 	17 	408 	
ARA1 	14 	124 	
TBS1 	26 	818 	
APD1 	11 	142 	
SPP381 	6 	222 	
RIB7 	0 	0 	
RPB5 	0 	0 	
CNS1 	0 	0 	
SLI15 	1 	0 	
ICS2 	9 	224 	
AMN1 	30 	769 	
IFA38 	1 	0 	
CDC28 	0 	0 	
CSH1 	14 	78 	
TOS1 	19 	407 	
YSY6 	2 	24 	
EXO5 	16 	184 	
ARL1 	5 	22 	
UBS1 	4 	16 	
TYR1 	3 	12 	
POP7 	0 	0 	
PEX32 	16 	334 	
SSE2 	17 	222 	
NPL4 	11 	257 	
SEC66 	10 	61 	
SMY2 	14 	159 	
UMP1 	2 	1 	
YBR174C 	5 	46 	
SWD3 	8 	182 	
ECM31 	9 	56 	
EHT1 	18 	507 	
YBR178W 	20 	369 	
FZO1 	6 	105 	
DTR1 	18 	360 	
RPS6B 	4 	25 	
SMP1 	20 	477 	
YBR182C-A 	2 	9 	
YPC1 	5 	69 	
YBR184W 	14 	184 	
MBA1 	10 	354 	
PCH2 	33 	1018 	
GDT1 	15 	321 	
NTC20 	8 	113 	
RPS9B 	1 	0 	
YBR190W 	10 	98 	
RPL21A 	2 	1 	
YBR191W-A 	0 	0 	
RIM2 	3 	18 	
MED8 	0 	0 	
AIM4 	4 	25 	
MSI1 	13 	312 	
PGI1 	0 	0 	
YBR196C-A 	15 	97 	
