gene_name number_of_transposon_per_gene number_of_read_per_gene
SLM4 12 79
ECM33 1 0
RPG1 14 184
SEC18 1 0
SPT7 15 100
UBC4 15 162
TEC1 38 684
MIS1 32 1530
RPL19A 14 55
AAC3 10 180
YBR085C-A 8 141
IST2 39 656
RFC5 1 0
POL30 0 0
YBR089W 0 0
NHP6B 31 484
YBR090C 58 647
TIM12 0 0
PHO3 24 658
PHO5 22 446
PBY1 44 1210
RXT2 8 51
YBR096W 14 417
VPS15 26 552
MMS4 33 919
YBR099C 10 79
FES1 3 3
EXO84 17 550
SIF2 28 785
YBR103C-A 26 943
YMC2 26 784
VID24 28 771
PHO88 15 365
IML3 13 562
AIM3 50 1593
CMD1 0 0
YBR109W-A 16 459
ALG1 1 0
YSA1 14 219
SUS1 4 37
CYC8 16 124
YBR113W 10 98
RAD16 55 2186
LYS2 69 1219
YBR116C 40 1979
TKL2 64 3379
TEF2 13 50
MUD1 13 475
CBP6 1 0
GRS1 1 0
YBR121C-A 0 0
MRPL36 8 227
TFC1 4 12
YBR124W 20 330
PTC4 21 375
TPS1 8 80
YBR126W-A 9 107
YBR126W-B 10 171
VMA2 6 269
ATG14 24 617
OPY1 13 433
SHE3 7 20
CCZ1 8 67
YBR131C-A 0 0
AGP2 27 655
HSL7 24 277
YBR134W 23 1153
CKS1 3 2
MEC1 57 1028
YBR137W 8 84
YBR138C 11 181
YBR139W 19 227
IRA1 15 75
BMT2 34 1136
YBR141W-A 1 0
MAK5 13 149
SUP45 2 1
YBR144C 35 2226
ADH5 23 565
MRPS9 3 9
RTC2 23 753
YSW1 29 832
ARA1 16 536
TBS1 47 1052
APD1 13 340
SPP381 11 242
RIB7 0 0
RPB5 0 0
CNS1 2 1
SLI15 6 84
ICS2 15 486
AMN1 27 455
IFA38 0 0
CDC28 2 1
CSH1 10 76
TOS1 16 587
YSY6 5 37
EXO5 19 333
ARL1 2 1
UBS1 4 3
TYR1 33 938
POP7 1 0
PEX32 20 570
SSE2 39 969
NPL4 15 330
SEC66 9 57
SMY2 22 780
UMP1 0 0
YBR174C 10 45
SWD3 3 3
ECM31 6 27
EHT1 21 367
YBR178W 34 802
FZO1 9 19
DTR1 29 576
RPS6B 2 20
SMP1 11 121
YBR182C-A 6 108
YPC1 10 128
YBR184W 22 455
MBA1 9 164
PCH2 34 1434
GDT1 13 368
NTC20 7 61
RPS9B 0 0
YBR190W 5 11
RPL21A 3 2
YBR191W-A 0 0
RIM2 1 0
MED8 0 0
AIM4 9 105
MSI1 27 960
PGI1 1 0
YBR196C-A 16 169
YBR196C-B 15 674
YBR197C 34 1256
TAF5 2 2
KTR4 19 425
BEM1 10 137
YBR200W-A 1 0
DER1 7 150
YBR201C-A 3 10
MCM7 7 63
COS111 23 808
LDH1 21 757
KTR3 24 885
YBR206W 6 133
FTH1 46 1654
DUR1,2 95 2606
YBR209W 35 1275
ERV15 8 162
AME1 2 2
NGR1 30 870
MET8 32 1094
SDS24 46 1421
HPC2 14 649
YBP1 20 616
ATG12 6 110
PYC2 67 2684
YBR219C 51 2337
YBR220C 38 1890
PDB1 17 406
YBR221W-A 26 679
PCS60 31 1332
TDP1 39 437
YBR223W-A 11 176
YBR224W 28 618
YBR225W 23 726
YBR226C 5 126
MCX1 19 253
SLX1 26 477
ROT2 42 1141
OM14 17 57
YBR230W-A 14 886
SWC5 34 1984
YBR232C 10 106
PBP2 28 722
DAD3 1 0
ARC40 1 0
VHC1 56 1926
ABD1 1 0
PRP5 3 2
YBR238C 21 496
ERT1 28 778
THI2 44 2115
YBR241C 57 2591
YBR242W 11 299
ALG7 2 1
GPX2 10 79
ISW1 65 2933
RRT2 23 1297
ENP1 2 1
HIS7 28 422
ARO4 26 710
SPO23 25 516
MRPS5 6 20
DUT1 3 5
SRB6 6 139
TRS20 2 1
MTC4 25 765
YBR255C-A 11 557
RIB5 5 56
POP4 1 0
SHG1 5 26
YBR259W 28 553
RGD1 30 712
TAE1 12 419
MIC12 8 21
SHM1 14 206
YPT10 9 155
TSC10 1 0
REI1 25 608
SLM6 9 79
MRPL37 3 3
SDH8 9 27
BIT2 20 539
EFM2 18 197
HSM3 13 449
UBX7 29 690
CHK1 20 487
RIF1 70 1649
PPS1 25 652
YBR277C 20 1180
DPB3 14 186
PAF1 9 276
SAF1 44 1642
DUG2 26 242
MRPL27 4 5
SSH1 12 133
YBR284W 48 1705
YBR285W 3 2
APE3 42 1958
YBR287W 20 390
APM3 8 21
SNF5 26 319
BSD2 4 99
CTP1 26 1474
YBR292C 25 375
VBA2 25 659
SUL1 38 497
PCA1 61 1744
PHO89 31 784
YBR296C-A 11 390
MAL33 15 193
MAL31 27 1152
YBR298C-A 9 127
MAL32 12 170
YBR300C 11 32
PAU24 4 8
COS2 2 1
YCL076W 3 80
GEX1 9 99
VBA3 1 0
YCL068C 11 386
HMLALPHA2 0 0
HMLALPHA1 3 2
YCL065W 0 0
CHA1 11 60
VAC17 21 439
MRC1 37 978
KRR1 7 99
FYV5 13 705
ADF1 5 297
MIC10 20 696
PRD1 47 1748
PEX34 5 68
KAR4 12 237
RDT1 1 0
SPB1 6 30
PBN1 10 369
LRE1 51 1705
APA1 30 1109
YCL049C 28 671
YCL048W-A 10 50
SPS22 43 3094
POF1 13 197
EMC1 61 2044
YCL046W 9 58
MGR1 40 1306
PDI1 22 222
YCL041C 55 359
YCL042W 36 1161
GLK1 113 5697
GID7 69 2143
ATG22 44 1191
SRO9 36 1538
GFD2 86 5640
GRX1 5 32
LSB5 50 2075
MXR2 29 1059
STE50 29 1966
RRP7 4 4
HIS4 129 4747
BIK1 72 2915
RNQ1 48 2744
FUS1 43 1009
HBN1 23 428
FRM2 38 1497
AGP1 101 6010
YCL023C 50 1658
KCC4 106 3746
YCL022C 17 386
YCL021W-A 35 763
LEU2 84 1776
NFS1 2 1
DCC1 30 288
BUD3 173 4461
YCL012C 36 643
GBP2 70 2494
SGF29 43 1599
ILV6 98 3423
STP22 60 1924
YCL007C 17 414
VMA9 6 23
LDB16 50 1147
PGS1 19 975
YCL002C 79 3113
RER1 33 307
YCL001W-A 13 138
YCL001W-B 10 432
YCR001W 28 819
CDC10 2 23
MRPL32 12 101
YCP4 23 508
CIT2 95 4605
YCR006C 210 9089
YCR007C 48 1426
SAT4 45 1372
RVS161 10 93
ADY2 59 2475
ADP1 143 6299
PGK1 0 0
YCR013C 1 0
POL4 88 2050
YCR015C 36 1413
YCR016W 29 924
CWH43 31 663
SRD1 7 37
YCR018C-A 20 561
MAK32 51 1930
PET18 26 692
MAK31 6 57
HTL1 0 0
HSP30 62 2624
YCR022C 58 2755
YCR023C 81 3486
SLM5 9 105
YCR024C-B 7 162
PMP1 4 43
YCR025C 54 1741
NPP1 86 2203
RHB1 16 157
FEN2 26 400
RIM1 3 4
SYP1 48 1618
RPS14A 15 335
BPH1 130 3477
SNT1 89 3669
ELO2 6 5
RRP43 1 0
RBK1 39 1476
PHO87 47 1672
BUD5 24 287
YCR038W-A 0 0
MATALPHA2 3 2
MATALPHA1 0 0
YCR041W 4 182
TAF2 19 245
YCR043C 14 509
PER1 7 7
RRT12 50 1002
YCR045W-A 17 333
IMG1 7 25
BUD23 5 22
YCR047W-A 0 0
YCR049C 19 378
ARE1 66 2022
YCR050C 14 112
YCR051W 21 621
RSC6 5 19
THR4 18 596
CTR86 17 241
PWP2 13 223
YIH1 39 1352
TAH1 8 180
YCR061W 160 8928
YCR064C 43 1740
BUD31 28 500
HCM1 35 689
RAD18 9 19
SED4 60 1843
ATG15 62 1920
CPR4 17 518
IMG2 7 139
RSA4 1 0
SSK22 103 5724
