gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 32 567
YAL068W-A 11 177
PAU8 7 38
YAL067W-A 13 105
SEO1 45 1566
YAL066W 24 1530
YAL065C 12 506
YAL064W-B 10 33
TDA8 16 300
YAL064W 12 249
YAL063C-A 11 471
FLO9 80 2318
GDH3 140 4227
BDH2 128 6358
BDH1 56 2672
YAL059C-A 16 364
ECM1 25 665
CNE1 64 2426
YAL056C-A 21 780
GPB2 55 1146
PEX22 29 1351
ACS1 92 3547
FLC2 65 1250
OAF1 81 2785
AIM2 34 1420
GEM1 84 3539
YAL047W-A 21 485
SPC72 5 32
AIM1 9 201
YAL045C 18 367
YAL044W-A 19 497
GCV3 21 298
PTA1 8 69
YAL042C-A 23 318
ERV46 58 1552
CDC24 8 19
CLN3 10 256
CYC3 115 2449
CDC19 7 94
YAL037C-B 7 94
YAL037C-A 13 628
YAL037W 45 1475
RBG1 47 968
FUN12 8 40
YAL034C-B 33 1637
MTW1 13 196
FUN19 53 1873
POP5 3 8
PRP45 24 659
YAL031W-A 18 408
GIP4 82 2600
SNC1 30 899
MYO4 110 4886
FRT2 45 1489
SAW1 52 921
YAL026C-A 18 280
DRS2 98 3052
MAK16 4 3
LTE1 42 956
PMT2 27 433
FUN26 75 2993
CCR4 36 596
ATS1 55 2198
YAL019W-A 72 3770
FUN30 93 2908
LDS1 47 1459
PSK1 115 3360
YAL016C-B 21 832
YAL016C-A 15 666
TPD3 4 19
NTG1 65 2409
SYN8 52 2244
DEP1 25 283
CYS3 25 352
SWC3 68 3009
MDM10 25 340
SPO7 31 357
FUN14 48 1456
ERP2 37 1551
SSA1 135 4754
YAL004W 19 194
EFB1 0 0
VPS8 221 12545
TFC3 19 699
NUP60 66 1689
ERP1 49 1772
SWD1 32 784
RFA1 7 125
SEN34 4 8
BUD14 104 3252
ADE1 2 1
KIN3 45 871
CDC15 7 7
YAR019W-A 70 2224
PAU7 8 185
YAR023C 25 1368
UIP3 41 2031
YAR028W 31 1650
YAR029W 3 45
YAR030C 14 509
PRM9 45 1832
MST28 32 1230
YAT1 408 15961
YAR035C-A 21 525
SWH1 101 4021
YAR047C 0 0
FLO1 120 5098
YAR053W 2 4
YAR060C 2 1
YAR064W 18 145
