gene_name number_of_transposon_per_gene number_of_read_per_gene
YAL069W 34 799
YAL068W-A 10 485
PAU8 7 77
YAL067W-A 7 11
SEO1 35 1171
YAL066W 18 688
YAL065C 2 1
YAL064W-B 18 1055
TDA8 15 688
YAL064W 8 237
YAL063C-A 19 615
FLO9 61 1706
GDH3 113 4580
BDH2 104 5592
BDH1 64 2692
YAL059C-A 16 241
ECM1 17 301
CNE1 57 2611
YAL056C-A 18 1252
GPB2 40 1073
PEX22 25 698
ACS1 116 3633
FLC2 44 685
OAF1 93 2750
AIM2 21 800
GEM1 81 2550
YAL047W-A 30 1192
SPC72 10 227
AIM1 9 258
YAL045C 19 273
YAL044W-A 24 779
GCV3 15 220
PTA1 10 67
YAL042C-A 29 1128
ERV46 57 1559
CDC24 10 25
CLN3 15 404
CYC3 65 1151
CDC19 1 0
YAL037C-B 1 0
YAL037C-A 10 300
YAL037W 37 1553
RBG1 37 939
FUN12 8 87
YAL034C-B 40 3036
MTW1 6 47
FUN19 48 2087
POP5 1 0
PRP45 24 695
YAL031W-A 16 473
GIP4 71 2562
SNC1 17 506
MYO4 106 4758
FRT2 48 1849
SAW1 46 933
YAL026C-A 28 474
DRS2 105 3187
MAK16 2 2
LTE1 33 534
PMT2 19 768
FUN26 69 2201
CCR4 26 321
ATS1 53 1833
YAL019W-A 73 4174
FUN30 94 3463
LDS1 34 823
PSK1 103 3059
YAL016C-B 21 1006
YAL016C-A 20 1291
TPD3 2 39
NTG1 67 2026
SYN8 34 1211
DEP1 25 315
CYS3 13 45
SWC3 65 3312
MDM10 14 242
SPO7 24 266
FUN14 56 1953
ERP2 38 1105
SSA1 103 3229
YAL004W 8 23
EFB1 0 0
VPS8 229 17183
TFC3 15 494
NUP60 63 1186
ERP1 60 2268
SWD1 25 305
RFA1 4 6
SEN34 6 13
BUD14 119 4474
ADE1 2 1
KIN3 37 549
CDC15 7 10
YAR019W-A 55 2030
PAU7 11 404
YAR023C 30 1368
UIP3 38 1956
YAR028W 49 2314
YAR029W 8 227
YAR030C 8 47
PRM9 36 1104
MST28 36 1431
YAT1 337 10999
YAR035C-A 10 167
SWH1 86 2009
YAR047C 0 0
FLO1 104 5041
YAR053W 4 183
YAR060C 0 0
YAR064W 13 37
YAR066W 0 0
YAR068W 1 0
YAR069C 1 0
YAR070C 1 0
PHO11 2 2
IMD1 4 4
YAR075W 0 0
YBL113C 20 175
YBL113W-A 1 0
YBL112C 0 0
YBL111C 13 17
YBL109W 28 693
PAU9 1 0
YBL108W 17 491
YBL107W-A 0 0
MIX23 20 423
SRO77 61 2035
PKC1 6 54
SEA4 56 1802
RTG3 14 312
SFT2 33 791
ECM21 68 3939
YBL100W-C 13 222
YBL100C 0 0
