gene_name number_of_transposon_per_gene number_of_read_per_gene
ATP1 6 34
BNA4 34 516
BRN1 6 23
YBL096C 22 670
YBL095W 26 491
YBL094C 8 89
ROX3 17 159
RPL32 0 0
SCS22 20 382
MAP2 24 554
MRP21 5 6
AVT5 41 1289
TEL1 122 4532
RPL23A 33 1023
YBL086C 11 110
BOI1 52 2120
CDC27 9 11
YBL083C 3 49
ALG3 13 574
YBL081W 18 712
PET112 16 242
NUP170 61 1771
ATG8 0 0
YBL077W 16 497
ILS1 3 2
SSA3 107 2666
AAR2 32 887
YBL073W 30 2539
RPS8A 5 24
YBL071C-B 5 18
KTI11 0 0
YBL071C 9 97
YBL070C 11 445
AST1 22 652
YBL068W-A 1 0
PRS4 12 346
UBP13 27 390
SEF1 40 1133
YBL065W 19 255
PRX1 16 179
KIP1 66 1661
YBL062W 11 329
SKT5 36 1504
YEL1 46 1503
CMC2 2 1
YBL059W 25 1294
SHP1 22 721
PTH2 28 1562
PTC3 21 418
YBL055C 42 1503
TOD6 21 745
YBL053W 5 39
SAS3 37 1397
PIN4 23 488
SEC17 4 5
MOH1 5 17
RRT1 13 337
EDE1 65 1674
PSY4 28 1185
COR1 5 26
YBL044W 70 3984
ECM13 40 788
FUI1 60 2285
PRE7 1 0
ERD2 8 31
YBL039W-B 3 10
URA7 26 854
YBL039C-A 0 0
MRPL16 4 5
APL3 63 1922
YBL036C 21 1071
POL12 17 363
STU1 30 896
RIB1 9 209
HEK2 21 344
SHE1 40 1720
PET9 3 36
YBL029C-A 12 168
YBL029W 85 3185
YBL028C 16 526
RPL19B 20 210
LSM2 1 0
RRN10 1 0
NCL1 41 998
MCM2 5 15
PIM1 43 602
HAP3 6 129
RFT1 8 105
APN2 67 1598
POP8 11 246
PEP1 99 2628
FUS3 48 1927
ACH1 62 2149
RRN6 4 4
FMT1 207 10003
YBL012C 32 1077
SCT1 88 2343
YBL010C 40 1860
ALK2 77 2539
YBL008W-A 38 668
HIR1 35 610
SLA1 30 699
LDB7 36 1045
YBL006W-A 13 158
PDR3 127 6119
UTP20 12 112
HTA2 30 597
HTB2 46 2259
ECM15 29 976
NTH2 178 8517
RER2 15 389
COQ1 24 394
GPI18 3 2
RCR1 69 4077
UGA2 136 6818
DSF2 138 5234
FLR1 134 6661
HHF1 9 27
HHT1 12 231
IPP1 7 38
YBR012C 16 227
YBR013C 45 1535
GRX7 19 543
MNN2 26 693
YBR016W 33 1052
KAP104 9 20
GAL7 50 1689
GAL10 111 3834
GAL1 74 3223
FUR4 47 1026
POA1 35 1207
CHS3 14 170
SCO2 53 1363
OLA1 23 334
ETR1 13 136
YBR027C 44 668
YPK3 33 751
CDS1 2 4
RKM3 31 1434
RPL4A 6 33
YBR032W 39 1321
EDS1 92 3313
HMT1 22 1104
PDX3 17 128
CSG2 9 102
SCO1 9 185
CHS2 6 6
ATP3 5 35
FIG1 15 361
FAT1 21 330
CST26 24 878
QDR3 42 1287
TCM62 53 1070
GIP1 49 1565
ZTA1 19 568
FMP23 24 1275
RPS11B 9 61
REB1 2 1
REG2 24 505
YBR051W 12 150
RFS1 27 482
YBR053C 26 1325
YRO2 47 1897
PRP6 20 554
YBR056W 37 1367
YBR056W-A 11 214
YBR056C-B 11 214
MUM2 19 477
UBP14 20 322
TSC3 2 1
AKL1 49 1384
ORC2 10 128
TRM7 11 212
YBR062C 11 374
YBR063C 19 505
YBR064W 6 82
ECM2 25 896
NRG2 28 497
TIP1 15 381
BAP2 69 1885
TAT1 39 1348
ALG14 2 1
YBR071W 29 1336
HSP26 37 2293
YBR072C-A 14 74
RDH54 41 1273
PFF1 50 1562
ECM8 51 2687
YBR076C-A 24 962
SLM4 14 42
ECM33 3 5
RPG1 13 59
SEC18 2 1
SPT7 17 175
UBC4 17 238
TEC1 36 803
MIS1 29 421
RPL19A 16 115
AAC3 17 189
YBR085C-A 7 176
IST2 41 1106
RFC5 1 0
POL30 0 0
YBR089W 0 0
NHP6B 26 559
YBR090C 54 870
TIM12 0 0
PHO3 24 298
PHO5 27 867
PBY1 45 1472
RXT2 5 96
YBR096W 7 117
VPS15 26 585
MMS4 30 656
YBR099C 9 134
FES1 5 42
EXO84 10 67
SIF2 28 1049
YBR103C-A 24 932
YMC2 20 569
VID24 29 966
PHO88 13 217
IML3 15 293
AIM3 38 1104
CMD1 0 0
YBR109W-A 14 393
ALG1 1 0
YSA1 10 130
SUS1 4 81
CYC8 22 479
YBR113W 10 106
RAD16 60 2183
LYS2 62 1639
YBR116C 40 1433
TKL2 61 2561
TEF2 5 34
MUD1 10 203
CBP6 1 0
GRS1 0 0
YBR121C-A 0 0
MRPL36 7 81
TFC1 3 21
YBR124W 18 439
PTC4 32 610
TPS1 8 95
YBR126W-A 15 285
YBR126W-B 15 346
VMA2 17 184
ATG14 17 290
OPY1 8 86
SHE3 9 98
CCZ1 10 79
YBR131C-A 0 0
AGP2 21 843
HSL7 19 198
YBR134W 20 1029
CKS1 3 3
MEC1 54 1420
YBR137W 9 113
YBR138C 17 275
YBR139W 23 302
IRA1 16 43
BMT2 31 746
YBR141W-A 3 68
MAK5 13 37
SUP45 3 2
YBR144C 34 1544
ADH5 31 1169
MRPS9 5 6
RTC2 22 1037
YSW1 32 597
ARA1 18 460
TBS1 43 799
APD1 15 219
SPP381 15 262
RIB7 0 0
RPB5 0 0
CNS1 2 1
SLI15 5 23
ICS2 16 522
AMN1 25 666
IFA38 0 0
CDC28 0 0
CSH1 10 48
TOS1 15 452
YSY6 5 27
EXO5 24 455
ARL1 5 32
UBS1 7 29
TYR1 30 582
POP7 1 0
PEX32 12 180
SSE2 33 733
NPL4 16 520
SEC66 6 43
SMY2 19 518
UMP1 2 3
YBR174C 13 116
SWD3 7 20
ECM31 4 12
EHT1 17 314
YBR178W 33 1370
FZO1 6 6
DTR1 30 542
RPS6B 1 0
SMP1 13 158
YBR182C-A 8 177
YPC1 15 245
YBR184W 17 588
MBA1 5 41
PCH2 36 1338
GDT1 11 234
NTC20 6 82
RPS9B 4 5
YBR190W 15 55
RPL21A 2 4
YBR191W-A 0 0
RIM2 3 5
MED8 1 0
AIM4 11 109
MSI1 28 1091
PGI1 2 1
YBR196C-A 18 234
YBR196C-B 10 575
YBR197C 33 2164
TAF5 2 1
KTR4 13 175
BEM1 9 212
YBR200W-A 4 3
DER1 9 142
YBR201C-A 5 15
MCM7 5 49
COS111 36 866
LDH1 22 482
KTR3 22 420
YBR206W 8 139
FTH1 46 1131
DUR1,2 91 2444
YBR209W 33 804
ERV15 7 168
AME1 5 8
NGR1 28 1112
MET8 34 705
SDS24 50 1637
HPC2 9 94
YBP1 19 341
ATG12 6 113
PYC2 63 1923
YBR219C 56 1820
YBR220C 49 1757
PDB1 21 546
YBR221W-A 26 1325
PCS60 42 1227
TDP1 35 745
YBR223W-A 9 145
YBR224W 33 481
YBR225W 27 389
YBR226C 3 35
MCX1 18 179
SLX1 22 970
ROT2 50 1408
OM14 12 43
YBR230W-A 20 720
SWC5 39 573
YBR232C 14 161
PBP2 29 819
DAD3 0 0
ARC40 4 3
VHC1 47 1241
ABD1 4 3
PRP5 5 6
YBR238C 23 453
ERT1 45 1762
THI2 26 1160
YBR241C 54 2358
YBR242W 17 238
ALG7 1 0
GPX2 16 209
ISW1 59 1921
RRT2 27 1166
ENP1 1 0
HIS7 27 734
ARO4 30 1010
SPO23 23 715
MRPS5 7 79
DUT1 2 2
SRB6 5 328
TRS20 2 1
MTC4 28 1040
YBR255C-A 6 34
RIB5 2 1
POP4 0 0
SHG1 7 16
YBR259W 28 1064
RGD1 37 1044
TAE1 8 378
MIC12 5 8
SHM1 19 333
YPT10 12 118
TSC10 1 0
REI1 23 412
SLM6 5 28
MRPL37 1 0
SDH8 7 64
BIT2 14 407
EFM2 17 487
HSM3 17 217
UBX7 26 641
CHK1 17 500
RIF1 74 2124
PPS1 26 980
YBR277C 24 765
DPB3 17 388
PAF1 8 129
SAF1 40 1319
DUG2 28 617
MRPL27 2 2
SSH1 8 53
YBR284W 46 1276
YBR285W 6 15
APE3 34 1249
YBR287W 16 434
APM3 12 36
SNF5 21 225
BSD2 13 422
CTP1 29 992
YBR292C 24 495
VBA2 30 504
SUL1 43 1095
PCA1 65 2127
PHO89 36 758
YBR296C-A 7 159
MAL33 9 53
MAL31 20 976
YBR298C-A 7 127
MAL32 13 298
YBR300C 12 46
PAU24 3 2
COS2 2 1
YCL076W 3 18
GEX1 5 7
VBA3 2 1
YCL068C 9 122
HMLALPHA2 0 0
HMLALPHA1 2 1
YCL065W 0 0
CHA1 8 152
VAC17 18 158
MRC1 27 344
KRR1 5 24
FYV5 18 233
ADF1 9 81
MIC10 22 796
PRD1 54 1178
PEX34 8 19
KAR4 15 214
RDT1 1 0
SPB1 8 27
PBN1 9 194
LRE1 49 2260
APA1 33 1056
YCL049C 33 452
YCL048W-A 11 87
SPS22 38 1543
POF1 18 228
EMC1 62 1209
YCL046W 12 51
MGR1 52 1406
PDI1 12 29
YCL041C 54 298
YCL042W 36 968
GLK1 93 4997
GID7 55 1050
ATG22 41 891
SRO9 29 836
GFD2 87 4319
GRX1 12 159
LSB5 44 1577
MXR2 22 345
STE50 29 1401
RRP7 4 108
HIS4 123 3499
BIK1 79 2030
RNQ1 41 1683
FUS1 37 1264
HBN1 21 292
FRM2 34 980
AGP1 109 5002
YCL023C 42 1714
KCC4 114 3457
YCL022C 19 383
YCL021W-A 35 1190
LEU2 89 2796
NFS1 7 12
DCC1 21 434
BUD3 167 4507
YCL012C 31 442
GBP2 73 2295
SGF29 40 1226
ILV6 95 2868
STP22 74 1594
YCL007C 18 859
VMA9 7 14
LDB16 53 960
PGS1 27 816
YCL002C 81 2140
RER1 37 472
YCL001W-A 20 183
YCL001W-B 7 242
YCR001W 26 866
CDC10 1 0
MRPL32 15 158
YCP4 16 364
CIT2 84 3187
YCR006C 212 9436
YCR007C 53 1568
SAT4 44 831
RVS161 6 66
ADY2 54 1852
ADP1 149 8139
PGK1 2 2
YCR013C 5 34
POL4 85 3057
YCR015C 39 759
YCR016W 23 505
CWH43 24 122
SRD1 5 81
YCR018C-A 13 427
MAK32 54 2330
PET18 18 967
MAK31 8 60
HTL1 0 0
HSP30 62 2779
YCR022C 63 2043
YCR023C 71 2931
SLM5 13 147
YCR024C-B 11 372
PMP1 1 0
YCR025C 75 2260
NPP1 82 1599
RHB1 16 131
FEN2 27 587
RIM1 2 1
SYP1 45 1076
RPS14A 19 349
BPH1 125 2644
SNT1 84 3047
ELO2 6 13
RRP43 0 0
RBK1 44 1410
PHO87 50 2095
BUD5 22 332
YCR038W-A 0 0
MATALPHA2 2 1
MATALPHA1 1 0
YCR041W 3 29
TAF2 14 261
YCR043C 18 249
PER1 5 18
RRT12 57 1682
YCR045W-A 18 413
IMG1 7 14
BUD23 3 4
YCR047W-A 0 0
YCR049C 21 571
ARE1 59 2136
YCR050C 10 178
YCR051W 26 1032
RSC6 5 13
THR4 26 616
CTR86 14 119
PWP2 6 348
YIH1 31 706
TAH1 10 119
YCR061W 178 9886
YCR064C 36 1579
BUD31 21 249
HCM1 31 1025
RAD18 9 30
SED4 67 1984
ATG15 51 1774
CPR4 22 836
IMG2 4 52
RSA4 6 7
SSK22 99 4714
SOL2 29 674
ERS1 29 941
YCR075W-A 5 51
FUB1 12 535
PAT1 12 142
PTC6 32 714
SRB8 96 6139
YCR081C-A 14 680
AHC2 5 56
TRX3 6 121
TUP1 4 3
YCR085W 14 164
CSM1 14 127
YCR087W 10 260
YCR087C-A 8 174
ABP1 37 673
FIG2 59 1998
YCR090C 11 223
KIN82 36 1344
MSH3 60 1344
CDC39 32 649
CDC50 28 485
OCA4 18 500
YCR095W-A 1 0
HMRA2 0 0
HMRA1 2 1
YCR097W-A 0 0
GIT1 40 1478
YCR099C 11 291
YCR100C 14 539
YCR101C 16 349
YCR102C 52 1668
YCR102W-A 1 0
PAU3 8 28
ADH7 45 1717
RDS1 43 1868
AAD3 33 947
YCR108C 13 289
COS7 5 9
YDL247W-A 0 0
MPH2 9 16
SOR2 1 0
HXT15 9 69
THI13 11 32
AAD4 22 366
YDL242W 11 156
YDL241W 5 6
YDL240C-A 27 716
LRG1 25 410
ADY3 17 347
GUD1 14 300
AIM6 16 174
PHO13 13 136
YPD1 2 12
GYP7 39 1098
MFG1 21 406
OST4 2 1
BRE4 41 1191
PTP1 15 231
SSB1 12 227
YDL228C 4 50
HO 71 2298
GCS1 5 59
SHS1 15 421
WHI4 30 1075
HBT1 97 4279
FMP45 23 618
YDL221W 49 2326
CDC13 37 1581
DTD1 2 1
YDL218W 18 327
TIM22 3 3
RRI1 16 338
GDH2 54 2741
PRR2 42 758
NOP6 16 445
SHR3 3 2
YDL211C 27 573
UGA4 45 1206
CWC2 4 3
NHP2 2 7
GLE1 11 471
YDL206W 26 612
HEM3 5 4
RTN2 26 1437
ACK1 30 544
MRPL11 5 43
TRM8 15 462
MGT1 15 514
YDL199C 30 849
GGC1 0 0
ASF2 42 1251
YDL196W 49 1669
SEC31 4 4
SNF3 32 380
NUS1 4 10
ARF1 0 0
RPL35A 2 1
UFD2 30 376
RBS1 23 201
PPH22 16 250
YDL187C 5 26
YDL186W 7 40
YDL185C-A 8 110
VMA1 7 6
RPL41A 2 1
YDL183C 26 832
LYS20 26 641
INH1 2 2
YDL180W 15 109
PCL9 15 419
DLD2 23 381
YDL177C 12 504
YDL176W 23 490
AIR2 18 205
DLD1 45 2369
PAR32 9 61
YDL172C 5 14
GLT1 125 5793
UGA3 28 1037
UGX2 9 110
SFA1 29 1217
NRP1 1 0
FAP7 2 1
CDC36 1 0
CDC9 12 202
YDL163W 9 196
YDL162C 26 1305
ENT1 18 254
MHF2 6 131
DHH1 16 138
YDL159W-A 13 133
STE7 26 940
YDL159C-B 0 0
YDL158C 1 0
YDL157C 5 149
CMR1 32 1750
CLB3 26 1154
MSH5 44 1050
SAS10 5 6
YDL152W 13 324
BUD30 1 0
RPC53 2 1
ATG9 37 522
NOP14 20 202
RPN5 2 1
LDB17 28 701
COP1 4 11
YDL144C 37 930
CCT4 0 0
CRD1 35 1097
BPL1 4 8
RPO21 9 24
SCM3 0 0
RGT2 41 1687
ARF2 7 76
RPL35B 16 444
RDI1 9 239
PPH21 25 352
RPL41B 2 2
SRF1 19 364
CDC53 9 32
LYS21 26 982
STF1 8 68
RPP1B 7 242
YDL129W 20 738
VCX1 25 449
PCL2 41 1119
CDC48 11 88
HNT1 2 1
YDL124W 19 395
SNA4 13 282
UBP1 19 307
YDL121C 18 334
YFH1 0 0
YDL119C 17 248
YDL118W 2 20
CYK3 17 196
NUP84 6 17
IWR1 27 665
YDL114W-A 3 2
YDL114W 19 223
ATG20 24 409
TRM3 52 1402
RRP42 1 0
TMA17 5 13
YDL109C 25 593
KIN28 5 4
MSS2 13 283
PHO2 20 777
NSE4 2 1
QRI7 23 483
QRI1 2 6
POL3 9 25
DUN1 26 847
GET3 18 605
BUG1 13 280
SNU23 5 67
RPN6 4 3
OPI6 3 16
PMT1 18 303
YDL094C 30 1431
PMT5 22 603
SRP14 10 317
UBX3 26 651
RAM1 5 26
NUR1 23 383
ASM4 21 276
LUC7 11 112
YDL086W 33 996
YDL086C-A 19 486
YDL085C-A 5 41
NDE2 24 544
SUB2 1 0
RPS16B 8 41
RPL13A 11 79
RPP1A 4 6
THI3 36 887
MRK1 53 1072
MDH3 22 137
VAM6 9 12
RXT3 30 652
RPL31A 1 0
BRE1 2 1
YDL073W 42 2527
YET3 15 186
YDL071C 34 839
BDF2 19 323
CBS1 4 8
YDL068W 2 1
COX9 0 0
IDP1 39 1305
PEX19 28 392
UBC9 0 0
SYO1 24 379
YDL062W 7 69
RPS29B 4 44
TSR1 6 6
RAD59 24 427
USO1 35 765
YDL057W 14 130
MBP1 19 310
PSA1 1 0
MCH1 62 2496
PBP4 13 286
SLC1 18 595
LHP1 35 895
YDL050C 24 418
KNH1 39 1122
STP4 70 3177
SIT4 6 9
NPC2 15 327
MRP10 2 1
FAD1 2 4
MTF2 5 9
PRP11 2 1
SIR2 45 1228
YDL041W 17 248
NAT1 21 413
PRM7 40 843
BSC1 10 136
PUS9 40 1259
GPR1 39 850
YDL034W 4 94
SLM3 67 2000
YDL032W 8 244
DBP10 11 30
PRP9 6 42
ARP2 4 25
MPS1 10 58
YDL027C 25 644
YDL026W 17 203
RTK1 51 1618
YDL025W-A 0 0
DIA3 35 897
YDL022C-A 12 131
YDL023C 9 52
GPD1 23 455
GPM2 49 854
RPN4 69 2981
OSH2 107 4529
ERP3 21 831
CDC7 8 498
YDL016C 7 157
TSC13 1 0
NOP1 2 1
SLX5 25 455
YDL012C 37 1117
YDL011C 18 424
GRX6 23 438
YDL009C 13 59
APC11 4 5
YDL007C-A 5 14
RPT2 2 1
PTC1 2 1
MED2 30 518
ATP16 2 1
MCD1 6 34
NHP10 27 473
RMD1 79 2560
NTH1 134 4611
YRB1 0 0
RCR2 64 1926
YDR003W-A 12 71
RAD57 24 503
MAF1 14 192
SOK1 38 409
TRP1 57 2026
YDR008C 63 2144
GAL3 60 2142
YDR010C 80 5816
SNQ2 136 4786
RPL4B 22 513
PSF1 0 0
RAD61 64 2186
HED1 18 404
YDR015C 10 258
DAD1 1 0
KCS1 26 162
YDR018C 70 2950
GCV1 51 1284
DAS2 49 1763
FAL1 1 0
ATG31 13 327
SES1 0 0
FYV1 38 1166
RPS11A 8 100
NSI1 33 757
VPS54 31 570
REG1 33 713
YDR029W 24 530
RAD28 42 969
MIX14 5 58
PST2 20 675
MRH1 42 1483
LYS14 47 1295
YDR034C-A 6 49
YDR034W-B 9 151
ARO3 29 1012
EHD3 49 1206
KRS1 6 6
ENA5 37 536
ENA2 16 15
ENA1 24 285
RSM10 2 2
YDR042C 8 71
NRG1 25 548
HEM13 1 0
RPC11 0 0
BAP3 36 964
HEM12 3 2
YDR048C 22 440
VMS1 5 7
TPI1 1 0
DET1 32 1381
DBF4 1 0
YDR053W 0 0
CDC34 5 6
PST1 27 650
YDR056C 25 478
YOS9 36 2082
TGL2 18 503
UBC5 14 261
MAK21 11 159
YDR061W 40 1304
LCB2 0 0
AIM7 6 37
RPS13 0 0
RRG1 3 16
RTR2 18 570
OCA6 18 479
DOS2 15 198
DOA4 4 3
FMP16 6 61
PAA1 12 512
IPT1 42 1246
SNF11 20 496
TPS2 26 650
PPH3 5 84
RAD55 24 379
SED1 38 1122
SHU2 20 891
PET100 6 65
TFB5 6 23
VPS41 6 6
PDC2 2 1
STN1 8 22
RRP8 16 559
TVP23 12 156
AFR1 34 1131
SSS1 1 0
RRP1 1 0
SLU7 3 84
YDR089W 38 1045
YDR090C 19 585
RLI1 2 1
UBC13 20 322
DNF2 147 4456
YDR094W 54 2431
YDR095C 47 1204
GIS1 47 1370
MSH6 40 959
GRX3 10 184
BMH2 32 560
TVP15 14 158
ARX1 16 293
YDR102C 22 718
STE5 24 523
SPO71 45 920
TMS1 42 1347
ARP10 20 595
TMN2 27 730
TRS85 16 273
YDR109C 23 511
FOB1 24 531
ALT2 46 923
IRC2 18 623
PDS1 5 13
YDR114C 24 642
YDR115W 0 0
MRPL1 8 259
TMA64 11 43
APC4 10 85
YDR118W-A 3 47
VBA4 46 1253
COX26 12 313
TRM1 43 1258
DPB4 7 85
KIN1 41 1578
INO2 9 106
YDR124W 26 907
ECM18 17 305
SWF1 59 2411
ARO1 71 1862
MTC5 46 1290
SAC6 12 44
FIN1 11 132
YDR131C 33 1014
YDR132C 18 316
YDR133C 7 13
YCF1 49 1267
VPS61 35 1445
RGP1 11 91
HPR1 22 637
RUB1 3 53
MTQ2 9 64
DOP1 7 39
PEX7 25 557
SAN1 30 372
MKC7 16 100
TAF12 4 5
SWI5 13 197
EKI1 15 300
KGD2 13 129
YDR149C 6 13
NUM1 35 1113
CTH1 16 200
GIR2 6 83
ENT5 18 397
YDR154C 12 253
CPR1 22 955
RPA14 20 345
YDR157W 35 1504
HOM2 13 358
SAC3 25 220
SSY1 9 136
YDR161W 2 1
NBP2 2 13
CWC15 7 34
SEC1 4 13
TRM82 19 251
SEC5 7 58
TAF10 3 5
CDC37 8 51
STB3 5 16
YDR169C-A 2 26
SEC7 8 10
HSP42 19 492
SUP35 2 1
ARG82 0 0
HMO1 11 87
RSM24 2 1
NGG1 10 119
UBC1 9 124
SDH4 7 98
CSN9 8 76
YDR179W-A 7 114
SCC2 12 11
SAS4 13 721
CDC1 1 0
YDR182W-A 5 146
PLP1 17 345
YDR183C-A 4 74
ATC1 12 377
UPS3 15 491
YDR186C 30 385
YDR187C 10 191
CCT6 8 25
SLY1 2 2
RVB1 1 0
HST4 14 214
NUP42 12 360
YDR193W 6 145
MSS116 4 29
YDR194W-A 2 3
REF2 3 2
CAB5 2 9
CBS2 2 1
RKM2 15 284
YDR199W 6 68
VPS64 15 153
SPC19 1 0
RAV2 14 144
YDR203W 7 51
COQ4 5 25
MSC2 7 28
EBS1 22 534
UME6 33 1085
MSS4 13 69
YDR209C 6 159
YDR210W 5 153
GCD6 2 1
TCP1 3 2
UPC2 61 1988
AHA1 29 1021
YDR215C 59 3974
ADR1 30 792
RAD9 54 1627
SPR28 19 310
MFB1 13 274
YDR220C 18 315
GTB1 32 1136
YDR222W 18 379
CRF1 22 252
HTB1 5 11
HTA1 8 19
ADK1 2 1
SIR4 28 424
PCF11 2 2
IVY1 29 811
YDR230W 13 496
COX20 12 276
HEM1 4 5
RTN1 15 193
LYS4 31 1272
PRP42 3 3
FMN1 2 1
MRPL7 4 5
SEC26 2 1
YDR239C 28 918
SNU56 4 33
BUD26 25 1049
AMD2 33 829
PRP28 6 9
PEX5 28 1647
MNN10 5 71
TRS23 4 6
YDR246W-A 29 812
VHS1 25 708
YDR248C 12 265
YDR249C 23 571
YDR250C 34 1319
PAM1 14 85
BTT1 12 97
MET32 9 248
CHL4 16 449
RMD5 11 86
CTA1 31 880
RKM4 5 9
HSP78 61 2449
YAP6 31 868
SWM1 22 838
EXG2 35 1199
YDR262W 9 33
DIN7 18 236
AKR1 5 6
PEX10 11 150
HEL2 16 173
CIA1 4 5
MSW1 3 2
YDR269C 2 36
CCC2 36 619
YDR271C 12 112
GLO2 14 221
DON1 12 68
YDR274C 60 3330
BSC2 13 274
PMP3 3 3
MTH1 19 437
YDR278C 21 195
RNH202 19 256
RRP45 2 1
PHM6 6 78
YDR282C 30 842
GCN2 20 240
DPP1 16 217
ZIP1 21 476
YDR286C 6 44
INM2 10 183
NSE3 5 5
RTT103 2 1
YDR290W 16 171
HRQ1 37 607
SRP101 4 3
SSD1 38 1078
DPL1 23 250
HDA2 17 110
MHR1 6 68
SUR2 11 51
ATP5 0 0
BFR2 0 0
PRO1 0 0
CFT1 4 3
GPI11 3 31
RSC3 4 11
CPR5 4 47
HNT2 21 686
YDR306C 13 448
PMT7 18 684
SRB7 3 5
GIC2 20 561
SUM1 19 172
TFB1 5 5
SSF2 17 387
PIB1 24 931
RAD34 24 693
IPK1 13 153
OMS1 25 509
HIM1 17 478
MCM21 6 59
YFT2 9 376
SWA2 20 523
DAD4 1 0
YDR320W-B 17 1051
ASP1 14 242
MRPL35 5 10
TIM11 10 113
PEP7 15 56
UTP4 1 0
YCG1 7 17
YSP2 40 1046
YDR327W 1 0
SKP1 0 0
PEX3 22 496
UBX5 20 371
GPI8 0 0
IRC3 32 1028
RQC1 17 400
SWR1 64 2533
MSN5 11 24
YDR336W 17 273
MRPS28 5 4
YDR338C 38 1132
FCF1 0 0
YDR340W 16 523
YDR341C 2 1
HXT7 7 37
HXT6 6 8
YDR344C 35 685
HXT3 31 963
SVF1 19 327
MRP1 6 20
PAL1 24 865
YPS7 10 56
ATP22 5 11
SBE2 24 732
YPQ2 16 526
TRR1 3 2
TRP4 27 606
YDR354C-A 1 0
YDR355C 1 0
SPC110 8 9
CNL1 15 286
GGA1 14 254
EAF1 26 892
OPI7 8 75
BCP1 2 1
TFC6 12 89
ESC2 19 350
SEM1 2 1
CDC40 2 1
ESF1 1 0
YDR366C 16 319
KEI1 8 89
YPR1 12 345
XRS2 34 570
DXO1 12 264
CTS2 28 666
YDR371C-A 2 1
VPS74 2 1
FRQ1 0 0
PHO92 12 150
WIP1 1 0
BCS1 13 155
ARH1 1 0
ATP17 1 0
LSM6 0 0
RGA2 52 1581
SDH6 6 168
ARO10 38 1440
YRA1 2 1
YDR381C-A 3 2
RPP2B 4 13
NKP1 9 91
ATO3 33 937
EFT2 4 3
MUS81 13 227
YDR387C 27 836
RVS167 13 232
SAC7 12 120
UBA2 14 1014
YDR391C 9 125
SPT3 0 0
SHE9 29 681
RPT3 4 3
SXM1 13 80
YDR396W 6 27
NCB2 5 5
UTP5 3 36
HPT1 9 113
URH1 15 561
YDR401W 24 498
DIT2 42 1066
DIT1 32 913
RPB7 0 0
MRP20 14 223
PDR15 135 5385
YDR406W-A 2 1
TRS120 6 7
ADE8 3 2
SIZ1 17 418
STE14 18 277
DFM1 36 1430
RRP17 2 16
YDR413C 1 0
ERD1 3 2
YDR415C 20 484
SYF1 19 645
