gene_name number_of_transposon_per_gene number_of_read_per_gene
SLM4 14 356
ECM33 9 34
RPG1 10 63
SEC18 1 0
SPT7 19 243
UBC4 17 591
TEC1 42 2067
MIS1 36 1365
RPL19A 9 130
AAC3 7 88
YBR085C-A 2 8
IST2 46 575
RFC5 1 0
POL30 0 0
YBR089W 0 0
NHP6B 24 459
YBR090C 47 862
TIM12 0 0
PHO3 17 241
PHO5 24 782
PBY1 47 2372
RXT2 5 128
YBR096W 9 336
VPS15 11 115
MMS4 34 696
YBR099C 6 18
FES1 5 98
EXO84 14 87
SIF2 20 844
YBR103C-A 26 825
YMC2 23 655
VID24 24 1040
PHO88 19 301
IML3 10 190
AIM3 52 2026
CMD1 1 0
YBR109W-A 8 210
ALG1 0 0
YSA1 23 965
SUS1 6 61
CYC8 19 303
YBR113W 11 92
RAD16 45 2092
LYS2 62 2878
YBR116C 34 838
TKL2 49 1245
TEF2 10 76
MUD1 17 351
CBP6 2 1
GRS1 0 0
YBR121C-A 0 0
MRPL36 4 30
TFC1 2 1
YBR124W 15 637
PTC4 18 214
TPS1 9 104
YBR126W-A 10 327
YBR126W-B 11 259
VMA2 5 121
ATG14 21 577
OPY1 10 271
SHE3 11 132
CCZ1 8 20
YBR131C-A 0 0
AGP2 19 1125
HSL7 14 152
YBR134W 16 656
CKS1 0 0
MEC1 19 221
YBR137W 11 643
YBR138C 15 247
YBR139W 25 765
IRA1 21 57
BMT2 24 682
YBR141W-A 1 0
MAK5 6 59
SUP45 2 1
YBR144C 42 2638
ADH5 30 1170
MRPS9 8 37
RTC2 28 954
YSW1 27 565
ARA1 19 747
TBS1 34 1083
APD1 18 771
SPP381 9 308
RIB7 1 0
RPB5 0 0
CNS1 0 0
SLI15 5 5
ICS2 16 425
AMN1 30 1004
IFA38 0 0
CDC28 2 1
CSH1 14 599
TOS1 22 480
YSY6 3 2
EXO5 18 377
ARL1 3 18
UBS1 11 507
TYR1 25 788
POP7 0 0
PEX32 19 694
SSE2 33 1173
NPL4 11 22
SEC66 7 88
SMY2 24 500
UMP1 2 1
YBR174C 9 96
SWD3 8 24
ECM31 1 0
EHT1 16 179
YBR178W 41 1344
FZO1 11 136
DTR1 23 714
RPS6B 6 68
SMP1 15 346
YBR182C-A 3 13
YPC1 19 226
YBR184W 19 819
MBA1 7 95
PCH2 41 2235
GDT1 13 269
NTC20 9 137
RPS9B 3 7
YBR190W 11 171
RPL21A 4 3
YBR191W-A 1 0
RIM2 2 21
MED8 3 2
AIM4 9 279
MSI1 18 292
PGI1 2 1
YBR196C-A 13 276
YBR196C-B 9 206
YBR197C 26 1464
TAF5 4 4
KTR4 11 614
BEM1 2 1
YBR200W-A 4 12
DER1 10 468
YBR201C-A 3 5
MCM7 8 11
COS111 26 674
LDH1 10 243
KTR3 20 410
YBR206W 2 2
FTH1 41 1845
DUR1,2 76 3370
YBR209W 31 1242
ERV15 2 1
AME1 2 1
NGR1 20 707
MET8 28 1235
SDS24 37 1677
HPC2 16 613
YBP1 17 766
ATG12 10 123
PYC2 43 1336
YBR219C 35 1012
YBR220C 23 833
PDB1 11 323
YBR221W-A 22 787
PCS60 30 818
TDP1 41 1494
YBR223W-A 11 599
YBR224W 28 332
YBR225W 23 390
YBR226C 6 55
MCX1 21 553
SLX1 17 537
ROT2 24 736
OM14 18 79
YBR230W-A 19 443
SWC5 21 919
YBR232C 12 242
PBP2 39 2094
DAD3 1 0
ARC40 3 3
VHC1 40 1615
ABD1 9 96
PRP5 7 7
YBR238C 21 622
ERT1 29 1011
THI2 30 978
YBR241C 56 2713
YBR242W 5 50
ALG7 1 0
GPX2 9 403
ISW1 60 3684
RRT2 20 1248
ENP1 3 2
HIS7 28 1347
ARO4 19 609
SPO23 15 518
MRPS5 7 28
DUT1 3 41
SRB6 4 67
TRS20 1 0
MTC4 17 358
YBR255C-A 9 120
RIB5 5 13
POP4 1 0
SHG1 5 30
YBR259W 15 241
RGD1 23 1121
TAE1 5 225
MIC12 1 0
SHM1 30 777
YPT10 3 27
TSC10 3 3
REI1 17 88
SLM6 1 0
MRPL37 0 0
SDH8 5 31
BIT2 17 356
EFM2 18 934
HSM3 5 36
UBX7 16 480
CHK1 20 205
RIF1 51 1252
PPS1 27 547
YBR277C 24 1150
DPB3 21 938
PAF1 11 45
SAF1 15 460
DUG2 36 869
MRPL27 5 135
SSH1 10 296
YBR284W 37 1624
YBR285W 8 41
APE3 33 1315
YBR287W 21 599
APM3 10 68
SNF5 14 61
BSD2 20 755
CTP1 31 1171
YBR292C 10 322
VBA2 34 1422
SUL1 45 1758
PCA1 53 2621
PHO89 35 1832
YBR296C-A 5 153
MAL33 23 503
MAL31 24 944
YBR298C-A 7 92
MAL32 14 171
YBR300C 8 126
PAU24 1 0
COS2 2 1
YCL076W 6 232
GEX1 6 13
VBA3 3 17
YCL068C 5 63
HMLALPHA2 0 0
HMLALPHA1 3 2
YCL065W 2 18
CHA1 8 114
VAC17 17 245
MRC1 33 491
KRR1 4 11
FYV5 19 743
ADF1 12 437
MIC10 15 413
PRD1 32 1103
PEX34 9 156
KAR4 15 525
RDT1 0 0
SPB1 8 57
PBN1 10 220
LRE1 37 2741
APA1 16 634
YCL049C 20 333
YCL048W-A 10 421
SPS22 50 2372
POF1 15 307
EMC1 40 1338
YCL046W 7 67
MGR1 43 1919
PDI1 7 39
YCL041C 51 307
YCL042W 25 568
GLK1 90 4883
GID7 67 1369
ATG22 27 404
SRO9 25 1040
GFD2 85 4139
GRX1 8 194
LSB5 47 2031
MXR2 20 262
STE50 21 485
RRP7 4 6
HIS4 88 3541
BIK1 60 4456
RNQ1 28 1158
FUS1 49 2024
HBN1 21 199
FRM2 38 2774
AGP1 87 2890
YCL023C 34 1392
KCC4 96 3780
YCL022C 20 719
YCL021W-A 33 1909
LEU2 47 2016
NFS1 4 3
DCC1 24 288
BUD3 137 4921
YCL012C 26 384
GBP2 60 2569
SGF29 42 1527
ILV6 68 3478
STP22 34 981
YCL007C 12 309
VMA9 2 1
LDB16 39 1445
PGS1 21 821
YCL002C 56 2417
RER1 36 651
YCL001W-A 22 232
YCL001W-B 8 130
YCR001W 11 231
CDC10 2 1
MRPL32 27 840
YCP4 28 943
CIT2 92 5866
YCR006C 186 10521
YCR007C 46 2277
SAT4 48 1632
RVS161 14 280
ADY2 56 2111
ADP1 92 5489
PGK1 4 14
YCR013C 6 23
POL4 71 2199
YCR015C 26 594
YCR016W 22 413
CWH43 37 470
SRD1 13 160
YCR018C-A 16 557
MAK32 49 2238
PET18 22 638
MAK31 5 25
HTL1 1 0
HSP30 42 1435
YCR022C 55 1396
YCR023C 66 2853
SLM5 20 253
YCR024C-B 3 16
PMP1 3 3
YCR025C 60 1321
NPP1 101 3470
RHB1 10 143
FEN2 26 372
RIM1 5 24
SYP1 43 1632
RPS14A 9 126
BPH1 93 3640
SNT1 58 2223
ELO2 10 89
RRP43 2 4
RBK1 31 1339
PHO87 33 1333
BUD5 13 127
YCR038W-A 0 0
MATALPHA2 0 0
MATALPHA1 0 0
YCR041W 3 62
TAF2 13 444
YCR043C 8 221
PER1 2 1
RRT12 36 1514
YCR045W-A 12 215
IMG1 6 79
BUD23 2 1
YCR047W-A 0 0
YCR049C 14 291
ARE1 62 2839
YCR050C 12 392
YCR051W 13 283
RSC6 6 43
THR4 16 247
CTR86 8 267
PWP2 12 33
YIH1 24 772
TAH1 12 107
YCR061W 130 6185
YCR064C 40 1967
BUD31 15 337
HCM1 45 1159
RAD18 11 160
SED4 55 2793
ATG15 56 1872
CPR4 20 488
IMG2 6 82
RSA4 1 0
SSK22 75 4850
SOL2 19 372
ERS1 18 530
YCR075W-A 4 4
FUB1 18 443
PAT1 13 263
PTC6 35 1229
SRB8 81 6168
YCR081C-A 7 384
AHC2 7 140
TRX3 10 259
TUP1 2 1
YCR085W 12 150
CSM1 5 43
YCR087W 10 351
YCR087C-A 9 332
ABP1 34 668
FIG2 47 1093
YCR090C 14 352
KIN82 35 1922
MSH3 52 2151
CDC39 21 528
CDC50 20 700
OCA4 14 212
YCR095W-A 9 105
HMRA2 0 0
HMRA1 1 0
YCR097W-A 1 0
GIT1 28 1655
YCR099C 4 160
YCR100C 19 320
YCR101C 14 77
YCR102C 41 1439
YCR102W-A 2 1
PAU3 4 21
ADH7 46 1958
RDS1 39 1213
AAD3 31 976
YCR108C 11 123
COS7 4 3
YDL247W-A 0 0
MPH2 3 2
SOR2 2 1
HXT15 7 32
THI13 9 131
AAD4 21 830
YDL242W 15 714
YDL241W 2 1
YDL240C-A 20 723
LRG1 17 211
ADY3 13 533
GUD1 17 473
