gene_name number_of_transposon_per_gene number_of_read_per_gene
ECM33 5 13
RPG1 10 25
SEC18 3 3
SPT7 16 82
UBC4 16 479
TEC1 41 1624
MIS1 49 1340
RPL19A 14 218
AAC3 17 620
YBR085C-A 9 133
IST2 49 1125
RFC5 1 0
POL30 2 1
YBR089W 0 0
NHP6B 33 644
YBR090C 66 1017
TIM12 1 0
PHO3 27 967
PHO5 29 877
PBY1 46 1938
RXT2 6 106
YBR096W 13 324
VPS15 22 295
MMS4 29 616
YBR099C 8 93
FES1 6 9
EXO84 28 700
SIF2 27 896
YBR103C-A 22 929
YMC2 29 1052
VID24 26 437
PHO88 15 316
IML3 13 120
AIM3 68 1269
CMD1 0 0
YBR109W-A 15 563
ALG1 3 3
YSA1 14 141
SUS1 2 1
CYC8 23 266
YBR113W 16 212
RAD16 69 3009
LYS2 70 1666
YBR116C 42 1087
TKL2 76 2135
TEF2 11 160
MUD1 10 67
CBP6 3 4
GRS1 0 0
YBR121C-A 0 0
MRPL36 7 30
TFC1 5 36
YBR124W 16 277
PTC4 15 77
TPS1 4 39
YBR126W-A 19 740
YBR126W-B 12 533
VMA2 4 60
ATG14 21 380
OPY1 6 97
SHE3 15 282
CCZ1 18 115
YBR131C-A 2 1
AGP2 30 627
HSL7 24 326
YBR134W 26 977
CKS1 2 1
MEC1 68 1523
YBR137W 9 263
YBR138C 17 499
YBR139W 32 1332
IRA1 27 142
BMT2 40 843
YBR141W-A 3 22
MAK5 8 22
SUP45 0 0
YBR144C 48 2716
ADH5 36 1280
MRPS9 6 63
RTC2 30 1307
YSW1 50 1413
ARA1 25 741
TBS1 49 1192
APD1 25 796
SPP381 8 78
RIB7 3 5
RPB5 1 0
CNS1 3 6
SLI15 4 38
ICS2 16 474
AMN1 43 1084
IFA38 2 1
CDC28 0 0
CSH1 18 148
TOS1 50 1555
YSY6 1 0
EXO5 22 170
ARL1 4 43
UBS1 13 57
TYR1 32 562
POP7 0 0
PEX32 26 970
SSE2 37 729
NPL4 12 275
SEC66 4 35
SMY2 23 414
UMP1 0 0
YBR174C 7 48
SWD3 7 27
ECM31 2 1
EHT1 39 1169
YBR178W 44 893
FZO1 15 82
DTR1 41 975
RPS6B 3 4
SMP1 11 200
YBR182C-A 9 200
YPC1 17 616
YBR184W 35 1093
MBA1 13 167
PCH2 39 1337
GDT1 15 372
NTC20 6 93
RPS9B 2 1
YBR190W 12 75
RPL21A 3 2
YBR191W-A 1 0
RIM2 2 2
MED8 0 0
AIM4 9 96
MSI1 22 247
PGI1 1 0
YBR196C-A 20 313
YBR196C-B 10 329
YBR197C 36 1396
TAF5 5 7
KTR4 24 719
BEM1 17 452
YBR200W-A 3 6
DER1 10 130
YBR201C-A 5 44
MCM7 11 359
COS111 38 810
LDH1 12 179
KTR3 22 745
YBR206W 4 63
FTH1 29 938
DUR1,2 94 2807
YBR209W 34 1618
ERV15 8 68
AME1 5 18
NGR1 31 768
MET8 38 1149
SDS24 32 1107
HPC2 19 212
YBP1 21 580
ATG12 9 181
PYC2 52 1198
YBR219C 54 1863
YBR220C 36 1085
PDB1 18 239
YBR221W-A 31 702
PCS60 50 1104
TDP1 48 787
YBR223W-A 13 123
YBR224W 23 354
YBR225W 27 364
YBR226C 6 58
MCX1 21 348
SLX1 13 244
ROT2 49 929
OM14 14 244
YBR230W-A 18 303
SWC5 22 957
YBR232C 12 190
PBP2 28 704
DAD3 2 2
ARC40 1 0
VHC1 48 1223
ABD1 3 2
PRP5 6 7
YBR238C 27 699
ERT1 46 1299
THI2 41 1923
YBR241C 63 1527
YBR242W 13 238
ALG7 2 1
GPX2 16 254
ISW1 57 2794
RRT2 25 737
ENP1 1 0
HIS7 34 631
ARO4 20 261
SPO23 28 358
MRPS5 16 55
DUT1 1 0
SRB6 5 86
TRS20 2 1
MTC4 18 493
YBR255C-A 11 214
RIB5 7 66
POP4 2 1
SHG1 11 151
YBR259W 44 1232
RGD1 33 1265
TAE1 16 488
MIC12 4 34
SHM1 21 519
YPT10 10 520
TSC10 3 3
REI1 8 40
SLM6 3 3
MRPL37 3 9
SDH8 6 55
BIT2 30 1054
EFM2 16 375
HSM3 13 143
UBX7 36 950
CHK1 23 450
RIF1 76 2524
PPS1 35 746
YBR277C 20 597
DPB3 17 228
PAF1 8 73
SAF1 34 960
DUG2 31 522
MRPL27 6 14
SSH1 19 337
YBR284W 43 1364
YBR285W 5 42
APE3 48 1934
YBR287W 18 434
APM3 8 107
SNF5 17 516
BSD2 10 368
CTP1 33 1280
YBR292C 20 277
VBA2 34 887
SUL1 40 771
PCA1 67 1884
PHO89 45 1801
YBR296C-A 2 1
MAL33 16 285
MAL31 20 529
YBR298C-A 11 179
MAL32 17 411
YBR300C 12 149
PAU24 5 8
COS2 0 0
YCL076W 1 0
GEX1 11 39
VBA3 5 15
YCL068C 6 95
HMLALPHA2 0 0
HMLALPHA1 3 2
YCL065W 1 0
CHA1 22 507
VAC17 16 125
MRC1 40 1220
KRR1 5 7
FYV5 17 278
ADF1 6 63
MIC10 26 1288
PRD1 46 1309
PEX34 8 86
KAR4 13 196
RDT1 0 0
SPB1 12 62
PBN1 6 101
LRE1 41 2011
APA1 19 536
YCL049C 36 835
YCL048W-A 10 89
SPS22 54 2249
POF1 18 607
EMC1 48 985
YCL046W 12 55
MGR1 58 2051
PDI1 14 195
YCL041C 47 167
YCL042W 34 935
GLK1 113 4561
GID7 83 1540
ATG22 43 650
SRO9 39 982
GFD2 96 3736
GRX1 14 250
LSB5 63 3076
MXR2 25 323
STE50 39 1388
RRP7 4 3
HIS4 139 3515
BIK1 95 3439
RNQ1 48 1636
FUS1 54 1750
HBN1 22 389
FRM2 40 1912
AGP1 125 4802
YCL023C 41 1299
KCC4 133 4482
YCL022C 24 759
YCL021W-A 33 758
LEU2 79 3183
NFS1 4 3
DCC1 30 368
BUD3 183 4718
YCL012C 34 502
GBP2 74 1671
SGF29 57 1398
ILV6 99 4298
STP22 66 1909
YCL007C 5 51
VMA9 1 0
LDB16 57 1294
PGS1 30 1309
YCL002C 67 2282
RER1 37 300
YCL001W-A 16 166
YCL001W-B 9 179
YCR001W 19 403
CDC10 1 0
MRPL32 21 216
YCP4 22 279
CIT2 111 4775
YCR006C 243 9398
YCR007C 64 1402
SAT4 62 1710
RVS161 16 121
ADY2 66 1570
ADP1 163 6835
PGK1 2 5
YCR013C 3 8
POL4 72 1500
YCR015C 46 1145
YCR016W 23 322
CWH43 37 600
SRD1 3 34
YCR018C-A 22 1135
MAK32 43 821
PET18 20 481
MAK31 7 54
HTL1 1 0
HSP30 54 1755
YCR022C 61 1395
YCR023C 68 2903
SLM5 19 247
YCR024C-B 13 107
PMP1 3 47
YCR025C 84 2495
NPP1 114 2315
RHB1 12 169
FEN2 40 779
RIM1 5 15
SYP1 51 1837
RPS14A 11 162
BPH1 120 2819
SNT1 96 3422
ELO2 7 26
RRP43 0 0
RBK1 39 1279
PHO87 65 2497
BUD5 30 670
YCR038W-A 1 0
MATALPHA2 0 0
MATALPHA1 1 0
YCR041W 2 10
TAF2 13 170
YCR043C 12 399
PER1 3 2
RRT12 60 1470
YCR045W-A 27 615
IMG1 15 107
BUD23 2 1
YCR047W-A 0 0
YCR049C 23 720
ARE1 75 2753
YCR050C 12 84
YCR051W 24 485
RSC6 5 5
THR4 22 484
CTR86 14 78
PWP2 15 292
YIH1 47 961
TAH1 17 326
YCR061W 196 8572
YCR064C 48 1651
BUD31 20 200
HCM1 55 1283
RAD18 19 153
SED4 70 1718
ATG15 61 1434
CPR4 28 1033
IMG2 4 4
RSA4 2 1
SSK22 99 3443
SOL2 30 553
ERS1 27 497
YCR075W-A 3 5
FUB1 18 582
PAT1 16 143
PTC6 36 673
SRB8 122 6789
YCR081C-A 14 958
AHC2 8 112
TRX3 8 133
TUP1 4 9
YCR085W 15 70
CSM1 12 188
YCR087W 12 110
YCR087C-A 11 60
ABP1 50 924
FIG2 44 1107
YCR090C 16 561
KIN82 41 1113
MSH3 78 2411
CDC39 32 775
CDC50 23 773
OCA4 14 316
YCR095W-A 4 19
HMRA2 0 0
HMRA1 0 0
YCR097W-A 1 0
GIT1 51 1788
YCR099C 13 381
YCR100C 17 582
YCR101C 16 522
YCR102C 50 1913
YCR102W-A 5 22
PAU3 8 103
ADH7 40 824
RDS1 46 1247
AAD3 36 1130
YCR108C 11 143
COS7 5 161
YDL247W-A 0 0
MPH2 2 1
SOR2 3 2
HXT15 16 363
THI13 9 57
AAD4 18 557
YDL242W 15 962
YDL241W 4 26
YDL240C-A 33 1079
LRG1 27 441
ADY3 25 316
GUD1 14 213
AIM6 15 110
PHO13 12 138
YPD1 0 0
GYP7 47 1441
MFG1 25 655
OST4 0 0
BRE4 51 1264
PTP1 25 909
SSB1 14 118
YDL228C 8 97
HO 79 1981
GCS1 8 216
SHS1 25 377
WHI4 26 458
HBT1 105 3140
FMP45 30 775
YDL221W 56 2057
CDC13 39 1292
DTD1 1 0
YDL218W 36 802
TIM22 2 1
RRI1 16 464
GDH2 71 2828
PRR2 48 1143
NOP6 11 71
SHR3 1 0
YDL211C 24 1059
UGA4 55 1351
CWC2 1 0
NHP2 1 0
GLE1 7 37
YDL206W 27 599
HEM3 4 4
RTN2 32 1444
ACK1 41 1136
MRPL11 5 28
TRM8 30 1142
MGT1 18 506
YDL199C 28 718
GGC1 1 0
ASF2 59 1748
YDL196W 50 2136
SEC31 6 12
SNF3 23 243
NUS1 3 4
ARF1 4 71
RPL35A 1 0
UFD2 19 199
RBS1 18 450
PPH22 17 145
YDL187C 7 27
YDL186W 6 258
YDL185C-A 15 460
VMA1 6 7
RPL41A 1 0
YDL183C 14 338
LYS20 37 1112
INH1 9 81
YDL180W 15 194
PCL9 12 39
DLD2 25 458
YDL177C 19 324
YDL176W 38 1062
AIR2 16 202
DLD1 35 1619
PAR32 11 44
YDL172C 9 19
GLT1 125 3826
UGA3 27 571
UGX2 19 421
SFA1 36 1120
NRP1 2 12
FAP7 5 4
CDC36 2 1
CDC9 7 101
YDL163W 5 74
YDL162C 35 859
ENT1 19 732
MHF2 3 33
DHH1 17 100
YDL159W-A 14 421
STE7 32 1202
YDL159C-B 2 8
YDL158C 6 61
YDL157C 8 135
CMR1 44 1639
CLB3 19 694
MSH5 45 1178
SAS10 6 28
YDL152W 12 200
BUD30 3 5
RPC53 6 36
ATG9 32 764
NOP14 23 336
RPN5 0 0
LDB17 12 115
COP1 6 22
YDL144C 37 1499
CCT4 1 0
CRD1 24 763
BPL1 4 3
RPO21 13 32
SCM3 1 0
RGT2 38 705
ARF2 15 298
RPL35B 11 68
RDI1 15 457
PPH21 17 203
RPL41B 1 0
SRF1 29 665
CDC53 12 26
LYS21 24 551
STF1 11 189
RPP1B 15 212
YDL129W 13 337
VCX1 24 696
PCL2 31 728
CDC48 5 4
HNT1 2 7
YDL124W 15 339
SNA4 8 167
UBP1 24 593
YDL121C 8 68
YFH1 0 0
YDL119C 24 463
YDL118W 7 88
CYK3 21 590
NUP84 2 1
IWR1 21 425
YDL114W-A 0 0
YDL114W 16 405
ATG20 16 309
TRM3 54 1520
RRP42 1 0
TMA17 11 246
YDL109C 51 1264
KIN28 5 9
MSS2 15 90
PHO2 21 591
NSE4 0 0
QRI7 36 1157
QRI1 2 3
POL3 9 47
DUN1 25 610
GET3 18 482
BUG1 8 228
SNU23 5 60
RPN6 4 6
OPI6 7 12
PMT1 24 129
YDL094C 39 2041
PMT5 42 994
SRP14 13 147
UBX3 23 761
RAM1 3 15
NUR1 18 128
ASM4 19 221
LUC7 9 44
YDL086W 31 843
YDL086C-A 19 721
YDL085C-A 9 308
NDE2 38 1365
SUB2 2 1
RPS16B 4 8
RPL13A 18 193
RPP1A 2 6
THI3 28 1099
MRK1 54 1183
MDH3 24 484
VAM6 7 59
RXT3 33 570
RPL31A 3 3
BRE1 4 3
YDL073W 40 1515
YET3 13 305
YDL071C 46 881
BDF2 33 667
CBS1 3 29
YDL068W 2 4
COX9 4 3
IDP1 30 1260
PEX19 17 161
UBC9 1 0
SYO1 17 118
YDL062W 2 1
RPS29B 3 4
TSR1 1 0
RAD59 25 225
USO1 45 1182
YDL057W 23 233
MBP1 16 70
PSA1 4 3
MCH1 84 2968
PBP4 14 301
SLC1 26 423
LHP1 42 924
YDL050C 27 464
KNH1 64 1637
STP4 80 1919
SIT4 9 78
NPC2 18 515
MRP10 3 2
FAD1 3 9
MTF2 6 28
PRP11 0 0
SIR2 56 1235
YDL041W 22 359
NAT1 29 629
PRM7 43 860
BSC1 14 293
PUS9 35 1035
GPR1 47 949
YDL034W 8 120
SLM3 58 1837
YDL032W 14 342
DBP10 8 24
PRP9 5 17
ARP2 1 0
MPS1 15 416
YDL027C 29 671
YDL026W 10 205
RTK1 35 708
YDL025W-A 2 7
DIA3 52 1705
YDL022C-A 9 226
YDL023C 23 564
GPD1 39 1400
GPM2 56 1422
RPN4 64 2424
OSH2 108 3647
ERP3 20 359
CDC7 13 215
YDL016C 10 387
TSC13 2 1
NOP1 1 0
SLX5 51 725
YDL012C 29 623
YDL011C 22 412
GRX6 30 476
YDL009C 10 78
APC11 10 108
YDL007C-A 9 128
RPT2 3 2
PTC1 4 4
MED2 27 339
ATP16 3 3
MCD1 4 6
NHP10 23 130
RMD1 81 3065
NTH1 157 3827
YRB1 0 0
RCR2 67 1638
YDR003W-A 6 14
RAD57 37 764
MAF1 21 419
SOK1 67 1060
TRP1 68 1527
YDR008C 70 1575
GAL3 89 3240
YDR010C 71 3537
SNQ2 196 7477
RPL4B 14 204
PSF1 4 4
RAD61 53 1074
HED1 12 169
YDR015C 7 115
DAD1 1 0
KCS1 30 399
YDR018C 62 2473
GCV1 50 1158
DAS2 48 1920
FAL1 3 122
ATG31 12 364
SES1 6 25
FYV1 45 887
RPS11A 8 23
NSI1 42 2214
VPS54 15 75
REG1 38 739
YDR029W 16 93
RAD28 61 1925
MIX14 12 224
PST2 18 423
MRH1 26 451
LYS14 63 2004
YDR034C-A 6 31
YDR034W-B 8 101
ARO3 45 954
EHD3 53 1706
KRS1 8 7
ENA5 29 314
ENA2 17 18
ENA1 32 1278
RSM10 7 17
YDR042C 10 81
NRG1 17 608
HEM13 2 1
RPC11 0 0
BAP3 45 1089
HEM12 4 3
YDR048C 31 1189
VMS1 10 90
TPI1 2 4
DET1 26 810
DBF4 3 3
YDR053W 0 0
CDC34 1 0
PST1 35 1004
YDR056C 32 1208
YOS9 42 1728
TGL2 26 723
UBC5 5 82
MAK21 10 92
YDR061W 42 1501
LCB2 2 1
AIM7 6 39
RPS13 1 0
RRG1 10 50
RTR2 27 390
OCA6 13 380
DOS2 13 129
DOA4 3 3
FMP16 9 73
PAA1 8 68
IPT1 49 1137
SNF11 10 146
TPS2 24 438
PPH3 7 111
RAD55 51 1967
SED1 19 174
SHU2 29 1083
PET100 7 143
TFB5 4 91
VPS41 8 82
PDC2 4 12
STN1 11 37
RRP8 14 154
TVP23 5 11
AFR1 19 605
SSS1 0 0
RRP1 0 0
SLU7 5 33
YDR089W 40 1755
YDR090C 12 578
RLI1 0 0
UBC13 21 363
DNF2 179 5750
YDR094W 74 2839
YDR095C 54 1752
GIS1 64 1944
MSH6 42 772
GRX3 8 111
BMH2 41 1084
TVP15 15 569
ARX1 17 488
YDR102C 25 1019
STE5 29 701
SPO71 57 2205
TMS1 32 935
ARP10 27 605
TMN2 33 534
TRS85 29 505
YDR109C 25 608
FOB1 31 616
ALT2 35 797
IRC2 10 143
PDS1 9 163
YDR114C 17 511
YDR115W 2 1
MRPL1 15 313
TMA64 5 11
APC4 10 357
YDR118W-A 3 4
VBA4 56 1239
COX26 9 124
TRM1 34 1023
DPB4 2 4
KIN1 40 972
INO2 6 5
YDR124W 24 948
ECM18 17 423
SWF1 48 1196
ARO1 48 1009
MTC5 69 2620
SAC6 24 405
FIN1 18 840
YDR131C 40 844
YDR132C 21 585
YDR133C 6 21
YCF1 60 1757
VPS61 39 1325
RGP1 5 36
HPR1 14 112
RUB1 6 30
MTQ2 8 54
DOP1 7 23
PEX7 16 471
SAN1 41 529
MKC7 25 669
TAF12 5 10
SWI5 21 186
EKI1 19 655
KGD2 28 430
YDR149C 9 41
NUM1 39 741
CTH1 25 697
GIR2 12 172
ENT5 20 256
YDR154C 5 68
CPR1 8 139
RPA14 28 282
YDR157W 42 1343
HOM2 18 167
SAC3 26 420
SSY1 5 10
YDR161W 4 25
NBP2 3 15
CWC15 10 129
SEC1 6 6
TRM82 18 219
SEC5 7 41
TAF10 1 0
CDC37 4 4
STB3 8 56
YDR169C-A 3 55
SEC7 15 96
HSP42 15 525
SUP35 5 13
ARG82 1 0
HMO1 14 196
RSM24 1 0
NGG1 8 105
UBC1 4 39
SDH4 9 127
CSN9 5 56
YDR179W-A 12 159
SCC2 11 42
SAS4 20 213
CDC1 3 2
YDR182W-A 3 4
PLP1 17 904
YDR183C-A 6 48
ATC1 9 146
UPS3 17 276
YDR186C 26 473
YDR187C 16 306
CCT6 7 6
SLY1 2 1
RVB1 2 1
HST4 19 277
NUP42 18 464
YDR193W 11 341
MSS116 8 57
YDR194W-A 5 23
REF2 8 74
CAB5 2 1
CBS2 3 20
RKM2 21 645
YDR199W 8 235
VPS64 10 243
SPC19 1 0
RAV2 6 87
