gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBL008W-A 	17 	100 	
HIR1 	20 	189 	
SLA1 	30 	274 	
LDB7 	34 	721 	
YBL006W-A 	13 	412 	
PDR3 	95 	2405 	
UTP20 	4 	15 	
HTA2 	28 	509 	
HTB2 	32 	1623 	
ECM15 	32 	1514 	
NTH2 	178 	5371 	
RER2 	10 	313 	
COQ1 	107 	3691 	
GPI18 	3 	7 	
RCR1 	57 	1760 	
UGA2 	84 	2389 	
DSF2 	151 	6873 	
FLR1 	89 	1460 	
HHF1 	5 	26 	
HHT1 	12 	185 	
IPP1 	6 	55 	
YBR012C 	16 	73 	
YBR013C 	14 	88 	
GRX7 	18 	238 	
MNN2 	31 	482 	
YBR016W 	23 	310 	
KAP104 	3 	16 	
GAL7 	1 	0 	
GAL10 	13 	113 	
GAL1 	1 	0 	
FUR4 	31 	327 	
POA1 	23 	324 	
CHS3 	18 	284 	
SCO2 	20 	353 	
OLA1 	16 	322 	
ETR1 	4 	8 	
YBR027C 	17 	257 	
YPK3 	41 	343 	
CDS1 	2 	6 	
RKM3 	10 	127 	
RPL4A 	2 	11 	
YBR032W 	22 	442 	
EDS1 	77 	1429 	
HMT1 	7 	163 	
PDX3 	4 	6 	
CSG2 	3 	11 	
SCO1 	5 	45 	
CHS2 	3 	40 	
ATP3 	0 	0 	
FIG1 	7 	48 	
FAT1 	13 	118 	
CST26 	18 	83 	
QDR3 	13 	191 	
TCM62 	6 	22 	
GIP1 	26 	316 	
ZTA1 	22 	262 	
FMP23 	8 	48 	
RPS11B 	1 	0 	
REB1 	1 	0 	
REG2 	21 	677 	
YBR051W 	6 	56 	
RFS1 	9 	48 	
YBR053C 	26 	321 	
YRO2 	9 	78 	
PRP6 	6 	91 	
YBR056W 	12 	192 	
YBR056W-A 	6 	29 	
YBR056C-B 	6 	29 	
MUM2 	9 	199 	
UBP14 	17 	99 	
TSC3 	0 	0 	
AKL1 	31 	498 	
ORC2 	1 	0 	
TRM7 	5 	68 	
YBR062C 	9 	139 	
YBR063C 	10 	26 	
YBR064W 	1 	0 	
ECM2 	17 	162 	
NRG2 	11 	68 	
TIP1 	7 	57 	
BAP2 	15 	272 	
TAT1 	1 	0 	
ALG14 	0 	0 	
YBR071W 	17 	316 	
HSP26 	11 	164 	
YBR072C-A 	13 	130 	
RDH54 	23 	286 	
PFF1 	25 	272 	
ECM8 	14 	66 	
YBR076C-A 	11 	121 	
SLM4 	0 	0 	
ECM33 	12 	116 	
RPG1 	0 	0 	
SEC18 	4 	26 	
SPT7 	12 	221 	
UBC4 	2 	7 	
TEC1 	14 	83 	
MIS1 	35 	569 	
RPL19A 	11 	33 	
AAC3 	8 	44 	
YBR085C-A 	2 	2 	
IST2 	12 	126 	
RFC5 	0 	0 	
POL30 	0 	0 	
YBR089W 	0 	0 	
NHP6B 	11 	99 	
YBR090C 	29 	213 	
TIM12 	0 	0 	
PHO3 	11 	282 	
PHO5 	8 	133 	
PBY1 	13 	125 	
RXT2 	12 	215 	
YBR096W 	3 	35 	
VPS15 	6 	33 	
MMS4 	13 	120 	
YBR099C 	5 	25 	
FES1 	3 	3 	
EXO84 	6 	57 	
SIF2 	5 	15 	
YBR103C-A 	15 	101 	
