gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBL012C 	33 	538 	
SCT1 	133 	2400 	
YBL010C 	57 	1244 	
ALK2 	130 	4193 	
YBL008W-A 	14 	219 	
HIR1 	147 	2111 	
SLA1 	87 	1045 	
LDB7 	37 	668 	
YBL006W-A 	15 	268 	
PDR3 	214 	5309 	
UTP20 	7 	96 	
HTA2 	45 	1125 	
HTB2 	54 	2863 	
ECM15 	26 	2390 	
NTH2 	240 	10989 	
RER2 	10 	175 	
COQ1 	15 	111 	
GPI18 	1 	0 	
RCR1 	78 	4294 	
UGA2 	129 	5868 	
DSF2 	178 	10798 	
FLR1 	126 	3114 	
HHF1 	4 	7 	
HHT1 	36 	520 	
IPP1 	9 	323 	
YBR012C 	30 	377 	
YBR013C 	37 	549 	
GRX7 	27 	548 	
MNN2 	77 	1432 	
YBR016W 	29 	440 	
KAP104 	12 	151 	
GAL7 	0 	0 	
GAL10 	44 	464 	
GAL1 	4 	60 	
FUR4 	99 	1617 	
POA1 	41 	893 	
CHS3 	71 	725 	
SCO2 	45 	754 	
OLA1 	40 	587 	
ETR1 	31 	340 	
YBR027C 	26 	593 	
YPK3 	77 	965 	
CDS1 	7 	18 	
RKM3 	31 	348 	
RPL4A 	4 	4 	
YBR032W 	31 	680 	
EDS1 	150 	3009 	
HMT1 	17 	126 	
PDX3 	18 	155 	
CSG2 	2 	3 	
SCO1 	4 	13 	
CHS2 	19 	236 	
ATP3 	0 	0 	
FIG1 	16 	178 	
FAT1 	41 	357 	
CST26 	47 	552 	
QDR3 	60 	706 	
TCM62 	66 	870 	
GIP1 	61 	579 	
ZTA1 	39 	357 	
FMP23 	25 	519 	
RPS11B 	12 	111 	
REB1 	6 	52 	
REG2 	37 	735 	
YBR051W 	8 	114 	
RFS1 	36 	234 	
YBR053C 	30 	223 	
YRO2 	32 	482 	
PRP6 	23 	526 	
YBR056W 	33 	318 	
YBR056W-A 	8 	90 	
YBR056C-B 	8 	90 	
MUM2 	17 	338 	
UBP14 	31 	262 	
TSC3 	1 	0 	
AKL1 	57 	977 	
ORC2 	9 	62 	
TRM7 	11 	192 	
YBR062C 	20 	297 	
YBR063C 	21 	209 	
YBR064W 	8 	27 	
ECM2 	49 	656 	
NRG2 	20 	264 	
TIP1 	14 	140 	
BAP2 	13 	76 	
TAT1 	14 	77 	
ALG14 	0 	0 	
YBR071W 	41 	824 	
HSP26 	15 	212 	
YBR072C-A 	13 	429 	
RDH54 	68 	880 	
PFF1 	63 	1026 	
ECM8 	35 	819 	
YBR076C-A 	24 	416 	
SLM4 	35 	393 	
ECM33 	46 	971 	
RPG1 	12 	45 	
SEC18 	2 	9 	
SPT7 	26 	214 	
UBC4 	15 	333 	
TEC1 	45 	582 	
MIS1 	64 	1325 	
RPL19A 	26 	310 	
AAC3 	17 	219 	
YBR085C-A 	5 	25 	
IST2 	37 	397 	
RFC5 	2 	3 	
POL30 	0 	0 	
YBR089W 	0 	0 	
NHP6B 	24 	246 	
