gene_name	number_of_transposon_per_gene	number_of_read_pergene
FMT1 	95 	10314 	
YBL012C 	36 	879 	
SCT1 	151 	2345 	
YBL010C 	56 	1556 	
ALK2 	127 	4601 	
YBL008W-A 	25 	381 	
HIR1 	153 	2678 	
SLA1 	157 	2112 	
LDB7 	44 	875 	
YBL006W-A 	15 	568 	
PDR3 	215 	5347 	
UTP20 	9 	89 	
HTA2 	44 	441 	
HTB2 	49 	3085 	
ECM15 	33 	2183 	
NTH2 	238 	9066 	
RER2 	11 	79 	
COQ1 	152 	4262 	
GPI18 	3 	2 	
RCR1 	70 	4927 	
UGA2 	159 	5722 	
DSF2 	198 	10856 	
FLR1 	146 	4331 	
HHF1 	20 	155 	
HHT1 	30 	544 	
IPP1 	16 	1261 	
YBR012C 	28 	443 	
YBR013C 	40 	972 	
GRX7 	33 	431 	
MNN2 	98 	2166 	
YBR016W 	40 	830 	
KAP104 	16 	121 	
GAL7 	1 	0 	
GAL10 	61 	817 	
GAL1 	3 	14 	
FUR4 	114 	2013 	
POA1 	50 	895 	
CHS3 	102 	1609 	
SCO2 	44 	642 	
OLA1 	50 	683 	
ETR1 	38 	668 	
YBR027C 	26 	668 	
YPK3 	78 	1126 	
CDS1 	7 	19 	
RKM3 	51 	810 	
RPL4A 	9 	55 	
YBR032W 	31 	637 	
EDS1 	159 	3241 	
HMT1 	27 	260 	
PDX3 	21 	206 	
CSG2 	37 	609 	
SCO1 	29 	321 	
CHS2 	49 	791 	
ATP3 	4 	17 	
FIG1 	21 	240 	
FAT1 	60 	530 	
CST26 	50 	873 	
QDR3 	69 	1193 	
TCM62 	57 	667 	
GIP1 	68 	988 	
ZTA1 	43 	430 	
FMP23 	38 	626 	
RPS11B 	13 	131 	
REB1 	5 	44 	
REG2 	45 	651 	
YBR051W 	17 	200 	
RFS1 	32 	289 	
YBR053C 	43 	771 	
YRO2 	31 	562 	
PRP6 	27 	744 	
YBR056W 	39 	854 	
YBR056W-A 	9 	41 	
YBR056C-B 	7 	33 	
MUM2 	25 	388 	
UBP14 	40 	522 	
TSC3 	4 	29 	
AKL1 	71 	1020 	
ORC2 	16 	139 	
TRM7 	17 	265 	
YBR062C 	17 	99 	
YBR063C 	34 	242 	
YBR064W 	11 	19 	
ECM2 	60 	826 	
NRG2 	43 	466 	
TIP1 	18 	75 	
BAP2 	30 	175 	
TAT1 	17 	94 	
ALG14 	0 	0 	
YBR071W 	37 	660 	
HSP26 	17 	226 	
YBR072C-A 	19 	259 	
RDH54 	61 	744 	
PFF1 	74 	1298 	
ECM8 	38 	556 	
YBR076C-A 	22 	394 	
SLM4 	43 	994 	
ECM33 	63 	1814 	
RPG1 	25 	131 	
SEC18 	2 	2 	
SPT7 	50 	444 	
UBC4 	13 	215 	
TEC1 	53 	503 	
MIS1 	81 	1821 	
RPL19A 	28 	188 	
AAC3 	12 	264 	
YBR085C-A 	5 	28 	
IST2 	51 	381 	
RFC5 	0 	0 	
POL30 	0 	0 	
YBR089W 	0 	0 	
NHP6B 	34 	534 	
YBR090C 	42 	936 	
TIM12 	0 	0 	
PHO3 	32 	355 	
PHO5 	24 	539 	
PBY1 	51 	888 	
RXT2 	16 	106 	
YBR096W 	18 	152 	
VPS15 	42 	426 	
MMS4 	60 	1050 	
YBR099C 	18 	239 	
FES1 	11 	46 	
EXO84 	20 	257 	
SIF2 	31 	434 	
YBR103C-A 	16 	171 	
YMC2 	47 	638 	
VID24 	35 	544 	
PHO88 	12 	76 	
IML3 	15 	101 	
AIM3 	77 	804 	
CMD1 	0 	0 	
YBR109W-A 	22 	347 	
ALG1 	2 	18 	
YSA1 	31 	373 	
SUS1 	11 	21 	
CYC8 	28 	187 	
YBR113W 	21 	126 	
RAD16 	47 	702 	
LYS2 	66 	752 	
YBR116C 	24 	513 	
TKL2 	60 	961 	
TEF2 	3 	11 	
MUD1 	13 	116 	
CBP6 	9 	9 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	10 	46 	
TFC1 	6 	89 	
YBR124W 	17 	441 	
PTC4 	37 	789 	
TPS1 	26 	188 	
YBR126W-A 	24 	367 	
YBR126W-B 	19 	319 	
VMA2 	7 	34 	
ATG14 	28 	299 	
OPY1 	15 	68 	
SHE3 	19 	144 	
CCZ1 	16 	72 	
YBR131C-A 	1 	0 	
AGP2 	45 	680 	
HSL7 	81 	1084 	
YBR134W 	26 	522 	
CKS1 	6 	21 	
MEC1 	6 	22 	
YBR137W 	25 	132 	
YBR138C 	31 	415 	
YBR139W 	28 	327 	
IRA1 	53 	344 	
BMT2 	26 	755 	
YBR141W-A 	4 	5 	
MAK5 	2 	1 	
SUP45 	0 	0 	
YBR144C 	16 	779 	
ADH5 	25 	273 	
MRPS9 	9 	42 	
RTC2 	28 	576 	
YSW1 	42 	442 	
ARA1 	31 	302 	
TBS1 	58 	733 	
APD1 	21 	215 	
SPP381 	22 	135 	
RIB7 	0 	0 	
RPB5 	0 	0 	
CNS1 	1 	0 	
SLI15 	3 	7 	
ICS2 	17 	256 	
AMN1 	54 	831 	
IFA38 	0 	0 	
CDC28 	1 	0 	
CSH1 	32 	138 	
TOS1 	36 	379 	
YSY6 	3 	15 	
EXO5 	38 	238 	
ARL1 	5 	20 	
UBS1 	6 	21 	
TYR1 	8 	43 	
POP7 	0 	0 	
PEX32 	32 	251 	
SSE2 	36 	772 	
NPL4 	14 	156 	
SEC66 	20 	265 	
SMY2 	38 	387 	
UMP1 	6 	7 	
YBR174C 	9 	59 	
SWD3 	10 	27 	
ECM31 	21 	219 	
EHT1 	27 	229 	
YBR178W 	22 	272 	
FZO1 	28 	182 	
DTR1 	39 	571 	
RPS6B 	10 	36 	
SMP1 	32 	461 	
YBR182C-A 	3 	6 	
YPC1 	18 	222 	
YBR184W 	33 	347 	
MBA1 	21 	182 	
PCH2 	57 	724 	
GDT1 	15 	62 	
NTC20 	13 	50 	
RPS9B 	6 	11 	
YBR190W 	15 	105 	
RPL21A 	5 	11 	
YBR191W-A 	0 	0 	
RIM2 	17 	38 	
MED8 	1 	0 	
AIM4 	14 	121 	
MSI1 	33 	474 	
