gene_name	number_of_transposon_per_gene	number_of_read_pergene
FMT1 	90 	16010 	
YBL012C 	28 	1370 	
SCT1 	105 	3733 	
YBL010C 	53 	2904 	
ALK2 	110 	5717 	
YBL008W-A 	15 	561 	
HIR1 	123 	2674 	
SLA1 	108 	2028 	
LDB7 	38 	1234 	
YBL006W-A 	14 	873 	
PDR3 	167 	9688 	
UTP20 	4 	45 	
HTA2 	54 	881 	
HTB2 	41 	4763 	
ECM15 	25 	5089 	
NTH2 	218 	19109 	
RER2 	14 	731 	
COQ1 	108 	4496 	
GPI18 	0 	0 	
RCR1 	70 	6190 	
UGA2 	155 	9160 	
DSF2 	171 	17571 	
FLR1 	138 	7791 	
HHF1 	16 	287 	
HHT1 	31 	636 	
IPP1 	11 	438 	
YBR012C 	19 	645 	
YBR013C 	36 	830 	
GRX7 	26 	488 	
MNN2 	67 	2400 	
YBR016W 	27 	985 	
KAP104 	9 	219 	
GAL7 	0 	0 	
GAL10 	42 	1123 	
GAL1 	4 	8 	
FUR4 	81 	1897 	
POA1 	37 	2137 	
CHS3 	61 	1512 	
SCO2 	43 	1138 	
OLA1 	26 	542 	
ETR1 	26 	193 	
YBR027C 	23 	344 	
YPK3 	84 	2293 	
CDS1 	8 	90 	
RKM3 	34 	732 	
RPL4A 	9 	110 	
YBR032W 	22 	623 	
EDS1 	133 	4783 	
HMT1 	23 	493 	
PDX3 	2 	1 	
CSG2 	4 	3 	
SCO1 	24 	499 	
CHS2 	53 	2002 	
ATP3 	2 	1 	
FIG1 	17 	532 	
FAT1 	35 	321 	
CST26 	38 	509 	
QDR3 	47 	1102 	
TCM62 	45 	1255 	
GIP1 	58 	1816 	
ZTA1 	45 	1222 	
FMP23 	26 	513 	
RPS11B 	12 	189 	
REB1 	7 	34 	
REG2 	38 	1281 	
YBR051W 	17 	83 	
RFS1 	22 	245 	
YBR053C 	33 	1084 	
YRO2 	24 	828 	
PRP6 	27 	504 	
YBR056W 	25 	461 	
YBR056W-A 	13 	265 	
YBR056C-B 	13 	265 	
MUM2 	12 	172 	
UBP14 	17 	131 	
TSC3 	2 	1 	
AKL1 	48 	1640 	
ORC2 	11 	161 	
TRM7 	20 	559 	
YBR062C 	6 	104 	
YBR063C 	16 	238 	
YBR064W 	6 	34 	
ECM2 	38 	1062 	
NRG2 	24 	263 	
TIP1 	12 	121 	
BAP2 	15 	109 	
TAT1 	20 	180 	
ALG14 	0 	0 	
YBR071W 	25 	1117 	
HSP26 	16 	185 	
YBR072C-A 	21 	173 	
RDH54 	46 	1212 	
PFF1 	50 	1901 	
ECM8 	28 	556 	
YBR076C-A 	11 	293 	
SLM4 	30 	242 	
ECM33 	46 	1862 	
RPG1 	12 	67 	
SEC18 	3 	16 	
SPT7 	25 	309 	
UBC4 	14 	192 	
TEC1 	43 	856 	
MIS1 	56 	1878 	
RPL19A 	23 	544 	
AAC3 	6 	12 	
YBR085C-A 	7 	45 	
IST2 	33 	357 	
RFC5 	1 	0 	
POL30 	2 	4 	
YBR089W 	0 	0 	
NHP6B 	25 	316 	
YBR090C 	42 	742 	
TIM12 	0 	0 	
PHO3 	16 	227 	
PHO5 	16 	151 	
PBY1 	41 	1358 	
RXT2 	9 	100 	
YBR096W 	12 	121 	
VPS15 	21 	243 	
MMS4 	32 	859 	
YBR099C 	9 	155 	
FES1 	9 	174 	
EXO84 	10 	295 	
SIF2 	19 	392 	
YBR103C-A 	13 	424 	
YMC2 	31 	738 	
VID24 	24 	511 	
PHO88 	11 	169 	
IML3 	12 	167 	
AIM3 	45 	921 	
CMD1 	0 	0 	
YBR109W-A 	13 	249 	
ALG1 	0 	0 	
YSA1 	20 	291 	
SUS1 	3 	5 	
CYC8 	14 	63 	
YBR113W 	8 	42 	
RAD16 	27 	620 	
LYS2 	11 	64 	
YBR116C 	20 	307 	
TKL2 	40 	1404 	
TEF2 	3 	5 	
MUD1 	7 	36 	
CBP6 	7 	37 	
GRS1 	0 	0 	
YBR121C-A 	0 	0 	
MRPL36 	4 	18 	
TFC1 	1 	0 	
YBR124W 	17 	382 	
PTC4 	20 	248 	
TPS1 	25 	721 	
YBR126W-A 	15 	668 	
YBR126W-B 	13 	402 	
VMA2 	4 	61 	
ATG14 	17 	320 	
OPY1 	7 	26 	
SHE3 	13 	132 	
CCZ1 	4 	6 	
YBR131C-A 	0 	0 	
AGP2 	30 	596 	
HSL7 	59 	1917 	
YBR134W 	21 	955 	
CKS1 	2 	9 	
MEC1 	14 	230 	
YBR137W 	11 	120 	
YBR138C 	27 	460 	
YBR139W 	13 	321 	
IRA1 	28 	436 	
BMT2 	30 	879 	
YBR141W-A 	5 	19 	
MAK5 	1 	0 	
SUP45 	0 	0 	
YBR144C 	12 	1153 	
ADH5 	15 	449 	
MRPS9 	8 	85 	
RTC2 	10 	31 	
YSW1 	38 	964 	
ARA1 	10 	456 	
TBS1 	37 	1038 	
APD1 	18 	450 	
SPP381 	16 	258 	
RIB7 	0 	0 	
RPB5 	0 	0 	
CNS1 	2 	5 	
SLI15 	3 	5 	
ICS2 	14 	139 	
AMN1 	32 	655 	
IFA38 	1 	0 	
CDC28 	0 	0 	
CSH1 	20 	213 	
TOS1 	23 	819 	
YSY6 	0 	0 	
EXO5 	20 	314 	
ARL1 	3 	7 	
