gene_name	number_of_transposon_per_gene	number_of_read_pergene
YBL012C 	41 	1079 	
SCT1 	165 	3753 	
YBL010C 	56 	1159 	
ALK2 	128 	4042 	
YBL008W-A 	25 	514 	
HIR1 	140 	2083 	
SLA1 	55 	695 	
LDB7 	45 	950 	
YBL006W-A 	16 	444 	
PDR3 	206 	4349 	
UTP20 	7 	24 	
HTA2 	53 	754 	
HTB2 	51 	2931 	
ECM15 	25 	3032 	
NTH2 	239 	9269 	
RER2 	13 	858 	
COQ1 	155 	5357 	
GPI18 	3 	6 	
RCR1 	74 	3913 	
UGA2 	144 	5291 	
DSF2 	180 	12283 	
FLR1 	156 	3736 	
HHF1 	13 	79 	
HHT1 	34 	663 	
IPP1 	10 	84 	
YBR012C 	33 	208 	
YBR013C 	36 	716 	
GRX7 	35 	495 	
MNN2 	86 	1895 	
YBR016W 	40 	745 	
KAP104 	13 	100 	
GAL7 	1 	0 	
GAL10 	24 	261 	
GAL1 	3 	8 	
FUR4 	106 	1148 	
POA1 	39 	787 	
CHS3 	74 	575 	
SCO2 	53 	845 	
OLA1 	38 	237 	
ETR1 	38 	398 	
YBR027C 	22 	290 	
YPK3 	85 	1076 	
CDS1 	4 	3 	
RKM3 	39 	580 	
RPL4A 	9 	56 	
YBR032W 	35 	944 	
EDS1 	172 	3783 	
HMT1 	30 	378 	
PDX3 	8 	51 	
CSG2 	3 	4 	
SCO1 	35 	597 	
CHS2 	48 	666 	
ATP3 	5 	15 	
FIG1 	25 	304 	
FAT1 	60 	763 	
CST26 	61 	844 	
QDR3 	65 	739 	
TCM62 	57 	907 	
GIP1 	61 	676 	
ZTA1 	34 	327 	
FMP23 	34 	522 	
RPS11B 	13 	97 	
REB1 	1 	0 	
REG2 	44 	488 	
YBR051W 	16 	113 	
RFS1 	38 	285 	
YBR053C 	39 	549 	
YRO2 	28 	288 	
PRP6 	22 	433 	
YBR056W 	44 	616 	
YBR056W-A 	10 	83 	
YBR056C-B 	8 	38 	
MUM2 	26 	381 	
UBP14 	22 	294 	
TSC3 	4 	13 	
AKL1 	55 	823 	
ORC2 	8 	21 	
TRM7 	13 	238 	
YBR062C 	20 	277 	
